form	lemma	POS	morph	treated_token
et	et2	CONcoo	MORPH=empty	et
vehiculis	uehiculum	NOMcom	Case=Dat|Numb=Plur	uehiculis
tarditati	tarditas	NOMcom	Case=Dat|Numb=Sing	tarditati
eadem	idem	PROdem	Case=Nom|Numb=Sing	eadem
-que	que	CONcoo	MORPH=empty	-que
cum	cum3	CONsub	MORPH=empty	cum
accepisset	accipio	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3	accepisset
homines	homo	NOMcom	Case=Nom|Numb=Plur	homines
inconditis	inconditus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	inconditis
vocibus	uox	NOMcom	Case=Abl|Numb=Plur	uocibus
inchoatum	inchoo	VER	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	inchoatum
quiddam	quidam	PROind	Case=Nom|Numb=Sing	quiddam
et	et2	CONcoo	MORPH=empty	et
confusum	confusus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	confusum
sonantes	sonans	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	sonantes
incidit	incido?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	incidit
has	hic1	PROdem	Case=Acc|Numb=Plur	has
et	et2	CONcoo	MORPH=empty	et
distinxit	distinguo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	distinxit
in	in	PRE	MORPH=empty	in
partis	pars	NOMcom	Case=Acc|Numb=Plur	partis
et	et2	CONcoo	MORPH=empty	et
ut	ut1	ADVrel	MORPH=empty	ut
signa	signum	NOMcom	Case=Acc|Numb=Plur	signa
quaedam	quidam	PROind	Case=Acc|Numb=Plur	quaedam
sic	sic	ADV	Deg=Pos	sic
verba	uerbum	NOMcom	Case=Acc|Numb=Plur	uerba
rebus	res	NOMcom	Case=Dat|Numb=Plur	rebus
inpressit	imprimo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	inpressit
homines	homo	NOMcom	Case=Acc|Numb=Plur	homines
-que	que	CONcoo	MORPH=empty	-que
antea	antea	ADV	Deg=Pos	antea
dissociatos	dissocio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	dissociatos
iucundissimo	iucundus	ADJqua	Case=Abl|Numb=Sing|Deg=Sup	iucundissimo
inter	inter	PRE	MORPH=empty	inter
se	sui1	PROref	Case=Acc|Numb=Sing	se
sermonis	sermo	NOMcom	Case=Gen|Numb=Sing	sermonis
vinclo	uinculum	NOMcom	Case=Abl|Numb=Sing	uinclo
conligavit	colligo?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	conligauit
.	.	PUNC	MORPH=empty	.
A	ab	PRE	MORPH=empty	a
simili	similis	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	simili
etiam	etiam	ADV	Deg=Pos	etiam
mente	mens	NOMcom	Case=Abl|Numb=Sing	mente
vocis	uox	NOMcom	Case=Gen|Numb=Sing	uocis
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
videbantur	uideo	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Pass|Person=3	uidebantur
infiniti	infinitus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	infiniti
soni	sonus	NOMcom	Case=Nom|Numb=Plur	soni
paucis	paucus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	paucis
notis	nota	NOMcom	Case=Abl|Numb=Plur	notis
inventis	inuenio	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	inuentis
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
omnes	omnis	PROind	Case=Nom|Numb=Plur	omnes
signati	signo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass	signati
et	et2	CONcoo	MORPH=empty	et
expressi	exprimo	VER	Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass	expressi
quibus	qui1	PROrel	Case=Dat|Numb=Plur	quibus
et	et2	CONcoo	MORPH=empty	et
conloquia	colloquium	NOMcom	Case=Nom|Numb=Plur	conloquia
cum	cum3	CONsub	MORPH=empty	cum
absentibus	absens	ADJqua	Case=Abl|Numb=Plur|Voice=Act	absentibus
et	et2	CONcoo	MORPH=empty	et
indicia	indicium	NOMcom	Case=Nom|Numb=Plur	indicia
voluntatum	uoluntas	NOMcom	Case=Gen|Numb=Plur	uoluntatum
et	et2	CONcoo	MORPH=empty	et
monumenta	monumentum	NOMcom	Case=Nom|Numb=Plur	monumenta
rerum	res	NOMcom	Case=Gen|Numb=Plur	rerum
praeteritarum	praeteritus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	praeteritarum
tenerentur	teneo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Pass|Person=3	tenerentur
.	.	PUNC	MORPH=empty	.
Accessit	accedo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	accessit
eo	eo3	ADV	Numb=Sing	eo
numerus	numerus	NOMcom	Case=Nom|Numb=Sing	numerus
res	res	NOMcom	Case=Nom|Numb=Sing	res
cum	cum3	CONsub	MORPH=empty	cum
ad	ad2	PRE	MORPH=empty	ad
vitam	uita	NOMcom	Case=Acc|Numb=Sing	uitam
necessaria	necessarius2	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	necessaria
tum	tum	ADV	Deg=Pos	tum
una	una	ADV	MORPH=empty	una
inmutabilis	immutabilis?	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inmutabilis
et	et2	CONcoo	MORPH=empty	et
aeterna	aeternus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	aeterna
;	;	PUNC	MORPH=empty	;
quae	qui1	PROrel	Case=Nom|Numb=Sing	quae
prima	primus	ADJord	Case=Nom|Numb=Sing|Deg=Sup	prima
inpulit	impello	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	inpulit
etiam	etiam	ADV	Deg=Pos	etiam
ut	ut4	CONsub	MORPH=empty	ut
suspiceremus	suspicio2	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=1	suspiceremus
in	in	PRE	MORPH=empty	in
caelum	caelum?	NOMcom	Case=Acc|Numb=Sing	caelum
nec	nec2	CONcoo	MORPH=empty	nec
frustra	frustra	ADV	Deg=Pos	frustra
siderum	sidus	NOMcom	Case=Gen|Numb=Plur	siderum
motus	motus	NOMcom	Case=Acc|Numb=Plur	motus
intueremur	intueor	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Dep|Person=1	intueremur
dinumerationibus	dinumeratio	NOMcom	Case=Abl|Numb=Plur	dinumerationibus
-que	que	CONcoo	MORPH=empty	-que
noctium	nox	NOMcom	Case=Gen|Numb=Plur	noctium
ac	ac1	CONcoo	MORPH=empty	ac
dierum	dies	NOMcom	Case=Gen|Numb=Plur	dierum
quorum	qui1	PROrel	Case=Gen|Numb=Plur	quorum
