form	lemma	POS	morph	treated_token
seruo	seruus1	NOMcom	Case=Dat|Numb=Sing	seruo
tuo	tuus	PROpos	Case=Dat|Numb=Sing	tuo
uiuam	uiuo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1	uiuam
et	et2	CONcoo	MORPH=empty	et
custodiam	custodio	VER	Case=Acc|Numb=Sing|Person=1	custodiam
sermones	sermo	NOMcom	Case=Acc|Numb=Plur	sermones
tuos	tuus	PROpos	Case=Acc|Numb=Plur	tuos
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Plur	reliqua
.	.	PUNC	MORPH=empty	.
Quibus	qui1	PROrel	Case=Dat|Numb=Plur	quibus
non	non	ADVneg	MORPH=empty	non
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
constans	constans	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	constans
emundati	emundo	VER	Case=Gen|Numb=Sing|Mood=Par|Voice=Pass	emundati
cordis	cor	NOMcom	Case=Gen|Numb=Sing	cordis
conscientia	conscientia	NOMcom	Case=Abl|Numb=Sing	conscientia
precari	precor	VER	Mood=Inf|Tense=Pres|Voice=Dep	precari
ista	iste	PROdem	Case=Acc|Numb=Plur	ista
prophetae	prophetus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	prophetae
uoce	uox	NOMcom	Case=Abl|Numb=Sing	uoce
non	non	ADVneg	MORPH=empty	non
possunt	possum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	possunt
retrib	retribus	NOMcom	Case=Nom|Numb=Sing	retrib
-ue	ue	CONcoo	MORPH=empty	-ue
seruo	seruus1	NOMcom	Case=Dat|Numb=Sing	seruo
tuo	tuus	PROpos	Case=Dat|Numb=Sing	tuo
.	.	PUNC	MORPH=empty	.
si	si2	CONsub	MORPH=empty	si
enim	enim2	CONcoo	MORPH=empty	enim
digna	dignus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	digna
secundum	secundum2	PRE	MORPH=empty	secundum
opera	opera	NOMcom	Case=Nom|Numb=Sing	opera
nostra	noster	PROpos	Case=Nom|Numb=Sing	nostra
retributio	retributio	NOMcom	Case=Nom|Numb=Sing	retributio
aderit	assum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	aderit
in	in	PRE	MORPH=empty	in
peccatorum	peccatum	NOMcom	Case=Gen|Numb=Plur	peccatorum
ac	ac1	CONcoo	MORPH=empty	ac
delictorum	delictum	NOMcom	Case=Gen|Numb=Plur	delictorum
nostrorum	noster	PROpos	Case=Gen|Numb=Plur	nostrorum
poenis	poena	NOMcom	Case=Abl|Numb=Plur	poenis
manebimus	maneo	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1	manebimus
.	.	PUNC	MORPH=empty	.
satis	satis2	ADV	Deg=Pos	satis
autem	autem	CONcoo	MORPH=empty	autem
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
si	si2	CONsub	MORPH=empty	si
cui	quis2	PROind	Case=Dat|Numb=Sing	cui
uel	uel1	ADV	MORPH=empty	uel
haec	hic1	PROdem	Case=Nom|Numb=Sing	haec
saltim	saltim	ADV	Deg=Pos	saltim
fiducia	fiducia	NOMcom	Case=Nom|Numb=Sing	fiducia
gratulandi	gratulor	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep	gratulandi
ad	ad2	PRE	MORPH=empty	ad
dominum	dominus	NOMcom	Case=Acc|Numb=Sing	dominum
fuerit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	fuerit
non	non	ADVneg	MORPH=empty	non
secundum	secundum2	PRE	MORPH=empty	secundum
peccata	peccatum	NOMcom	Case=Acc|Numb=Plur	peccata
nostra	noster	PROpos	Case=Acc|Numb=Plur	nostra
fecit	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	fecit
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
.	.	PUNC	MORPH=empty	.
CII	cius	VER	Numb=Sing	cii
;	;	PUNC	MORPH=empty	;
;	;	PUNC	MORPH=empty	;
;	;	PUNC	MORPH=empty	;
.	.	PUNC	MORPH=empty	.
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
.	.	PUNC	MORPH=empty	.
quia	quia	CONsub	MORPH=empty	quia
secundum	secundum2	PRE	MORPH=empty	secundum
altitudinem	altitudo	NOMcom	Case=Acc|Numb=Sing	altitudinem
caeli	caelum?	NOMcom	Case=Gen|Numb=Sing	caeli
a	ab	PRE	MORPH=empty	a
terra	terra	NOMcom	Case=Abl|Numb=Sing	terra
a	ab	PRE	MORPH=empty	a
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
iniquitates	iniquitas	NOMcom	Case=Acc|Numb=Plur	iniquitates
nostras	noster	PROpos	Case=Acc|Numb=Plur	nostras
quia	quia	CONsub	MORPH=empty	quia
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
cognouit	cognosco	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	cognouit
