form	lemma	POS	morph	treated_token
Quamquam	quamquam2	CONsub	MORPH=empty	quamquam
primo	primus	ADJord	Case=Abl|Numb=Sing|Deg=Sup	primo
libro	liber1	NOMcom	Case=Abl|Numb=Sing	libro
religiones	religio	NOMcom	Case=Acc|Numb=Plur	religiones
deorum	deus	NOMcom	Case=Gen|Numb=Plur	deorum
falsas	falsus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	falsas
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
monstrauerim	monstro	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1	monstrauerim
quod	quod2	CONsub	MORPH=empty	quod
ii	is	PROdem	Case=Nom|Numb=Plur	ii
quorum	qui1	PROrel	Case=Gen|Numb=Plur	quorum
uarios	uarius	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	uarios
dissimiles	dissimilis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	dissimiles
-que	que	CONcoo	MORPH=empty	-que
cultus	cultus1	NOMcom	Case=Acc|Numb=Plur	cultus
per	per	PRE	MORPH=empty	per
uniuersam	uniuersus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	uniuersam
terram	terra	NOMcom	Case=Acc|Numb=Sing	terram
consensus	consensus	NOMcom	Case=Nom|Numb=Sing	consensus
hominum	homo	NOMcom	Case=Gen|Numb=Plur	hominum
stulta	stultus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	stulta
persuasio	persuasio	NOMcom	Case=Nom|Numb=Sing	persuasio
-ne	ne2	CONcoo	MORPH=empty	-ne
suscepit	suscipio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	suscepit
mortales	mortalis1	NOMcom	Case=Nom|Numb=Plur	mortales
fuerint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3	fuerint
functi	fungor	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep	functi
-que	que	CONcoo	MORPH=empty	-que
uita	uita	NOMcom	Case=Nom|Numb=Sing	uita
diuinae	diuinus2	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	diuinae
necessitati	necessitas	NOMcom	Case=Dat|Numb=Sing	necessitati
morte	mors	NOMcom	Case=Abl|Numb=Sing	morte
concesserint	concedo1	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3	concesserint
tamen	tamen	ADV	Deg=Pos	tamen
ne	ne4	CONsub	MORPH=empty	ne
qua	quis2	PROind	Case=Nom|Numb=Sing	qua
dubitatio	dubitatio	NOMcom	Case=Nom|Numb=Sing	dubitatio
relinquatur	relinquo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	relinquatur
