form	lemma	POS	morph	treated_token
Beati	beatus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	beati
inmaculati	immaculo	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	inmaculati
in	in	PRE	MORPH=empty	in
uia	uia	NOMcom	Case=Abl|Numb=Sing	uia
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
ambulant	ambulo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ambulant
in	in	PRE	MORPH=empty	in
lege	lex	NOMcom	Case=Abl|Numb=Sing	lege
domini	dominus	NOMcom	Case=Gen|Numb=Sing	domini
.	.	PUNC	MORPH=empty	.
beati	beatus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	beati
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
scrutant	scrutor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	scrutant
testimonia	testimonium	NOMcom	Case=Acc|Numb=Plur	testimonia
.	.	PUNC	MORPH=empty	.
eius	is	PROdem	Case=Gen|Numb=Sing	eius
in	in	PRE	MORPH=empty	in
toto	totus	PROind	Case=Abl|Numb=Sing	toto
corde	cor	NOMcom	Case=Abl|Numb=Sing	corde
exquirunt	exquiro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	exquirunt
eum	is	PROdem	Case=Acc|Numb=Sing	eum
.	.	PUNC	MORPH=empty	.
dictorum	dictum	NOMcom	Case=Gen|Numb=Plur	dictorum
ordo	ordo	NOMcom	Case=Nom|Numb=Sing	ordo
non	non	ADVneg	MORPH=empty	non
neglegendus	negligo	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	neglegendus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
;	;	PUNC	MORPH=empty	;
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
si	si2	CONsub	MORPH=empty	si
non	non	ADVneg	MORPH=empty	non
diligenter	diligenter	ADV	Deg=Pos	diligenter
a	ab	PRE	MORPH=empty	a
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
cognoscitur	cognosco	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	cognoscitur
ne	ne3	ADVneg	MORPH=empty	ne
dispositae	dispono	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	dispositae
quidem	quidem	ADV	Deg=Pos	quidem
beatitudinis	beatitudo	NOMcom	Case=Gen|Numb=Sing	beatitudinis
ordinem	ordo	NOMcom	Case=Acc|Numb=Sing	ordinem
consequemur	consequor	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Dep|Person=1	consequemur
.	.	PUNC	MORPH=empty	.
non	non	ADVneg	MORPH=empty	non
enim	enim2	CONcoo	MORPH=empty	enim
primum	primum	ADJadv.ord	Deg=Sup	primum
beati	beatus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	beati
scrutantes	scrutor	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep	scrutantes
testimonia	testimonium	NOMcom	Case=Acc|Numb=Plur	testimonia
dei	deus	NOMcom	Case=Gen|Numb=Plur	dei
sed	sed	CONcoo	MORPH=empty	sed
primum	primum	ADJadv.ord	Deg=Sup	primum
beati	beatus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	beati
in	in	PRE	MORPH=empty	in
maculati	maculo	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	maculati
in	in	PRE	MORPH=empty	in
uia	uia	NOMcom	Case=Abl|Numb=Sing	uia
.	.	PUNC	MORPH=empty	.
prius	prius	ADJadv.ord	Deg=Comp	prius
enim	enim2	CONcoo	MORPH=empty	enim
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
confirmatis	confirmo	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	confirmatis
moribus	mos	NOMcom	Case=Abl|Numb=Plur	moribus
et	et2	CONcoo	MORPH=empty	et
in	in	PRE	MORPH=empty	in
innocentiae	innocentia	NOMcom	Case=Gen|Numb=Sing	innocentiae
studium	studium	NOMcom	Case=Acc|Numb=Sing	studium
ex	ex	PRE	MORPH=empty	ex
communi	communis	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	communi
probitatis	probitas	NOMcom	Case=Gen|Numb=Sing	probitatis
honestate	honestas	NOMcom	Case=Abl|Numb=Sing	honestate
conpositis	compono	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	conpositis
ueritatis	ueritas	NOMcom	Case=Gen|Numb=Sing	ueritatis
uiam	uia	NOMcom	Case=Acc|Numb=Sing	uiam
ingredi	ingredior	VER	Mood=Inf|Tense=Pres|Voice=Dep	ingredi
;	;	PUNC	MORPH=empty	;
sequens	sequens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos|Tense=Pres	sequens
deinde	deinde	ADV	Deg=Pos	deinde
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
scrutari	scrutor	VER	Mood=Inf|Tense=Pres|Voice=Dep	scrutari
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
testimonia	testimonium	NOMcom	Case=Acc|Numb=Plur	testimonia
et	et2	CONcoo	MORPH=empty	et
expurgato	expurgo	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	expurgato
emundato	emundo	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	emundato
-que	que	CONcoo	MORPH=empty	-que
animo	animus	NOMcom	Case=Abl|Numb=Sing	animo
ad	ad2	PRE	MORPH=empty	ad
inuestiganda	inuestigo	VER	Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass	inuestiganda
adesse	assum1	VER	Mood=Inf|Tense=Pres|Voice=Act	adesse
.	.	PUNC	MORPH=empty	.
ordinis	ordo	NOMcom	Case=Gen|Numb=Sing	ordinis
autem	autem	CONcoo	MORPH=empty	autem
huius	hic1	PROdem	Case=Gen|Numb=Sing	huius
et	et2	CONcoo	MORPH=empty	et
alius	alius	PROind	Case=Nom|Numb=Sing	alius
propheta	prophetus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	propheta
non	non	ADVneg	MORPH=empty	non
inmemor	immemor	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inmemor
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
dicens	dico?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	dicens
serite	sero?	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2	serite
in	in	PRE	MORPH=empty	in
iustitiam	iustitia	NOMcom	Case=Acc|Numb=Sing	iustitiam
uosmetipsos	uestestisus	PROpos	Case=Acc|Numb=Plur	uosmetipsos
et	et2	CONcoo	MORPH=empty	et
metite	metite	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2	metite
uos	uos	PROper	Case=Acc|Numb=Plur	uos
in	in	PRE	MORPH=empty	in
fructum	fructus	NOMcom	Case=Acc|Numb=Sing	fructum
uitae	uita	NOMcom	Case=Gen|Numb=Sing	uitae
et	et2	CONcoo	MORPH=empty	et
inluminate	illuminatus	ADJqua	Case=Voc|Numb=Sing|Deg=Pos	inluminate
uos	uos	PROper	Case=Acc|Numb=Plur	uos
in	in	PRE	MORPH=empty	in
lumine	lumen	NOMcom	Case=Abl|Numb=Sing	lumine
scientiae	scientia	NOMcom	Case=Gen|Numb=Sing	scientiae
.	.	PUNC	MORPH=empty	.
non	non	ADVneg	MORPH=empty	non
inluminatio	illuminatio	NOMcom	Case=Nom|Numb=Sing	inluminatio
primum	primum	ADJadv.ord	Deg=Sup	primum
sed	sed	CONcoo	MORPH=empty	sed
satio	satio1	NOMcom	Case=Nom|Numb=Sing	satio
nostra	noster	PROpos	Case=Nom|Numb=Sing	nostra
praecepta	praeceptum	NOMcom	Case=Nom|Numb=Plur	praecepta
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
cum	cum3	CONsub	MORPH=empty	cum
antea	antea	ADV	Deg=Pos	antea
nosmetipsos	nos	PROper	Case=Acc|Numb=Plur	nosmetipsos
id	is	PROdem	Case=Nom|Numb=Sing	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
uitae	uita	NOMcom	Case=Gen|Numb=Sing	uitae
nostrae	noster	PROpos	Case=Gen|Numb=Sing	nostrae
usum	usus	NOMcom	Case=Acc|Numb=Sing	usum
in	in	PRE	MORPH=empty	in
spem	spes	NOMcom	Case=Acc|Numb=Sing	spem
fructuum	fructus	NOMcom	Case=Gen|Numb=Plur	fructuum
seuerimus	seuero	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	seuerimus
deinde	deinde	ADV	Deg=Pos	deinde
cum	cum3	CONsub	MORPH=empty	cum
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
sata	sero?	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	sata
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
messuerimus	messio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	messuerimus
tunc	tunc	ADV	Deg=Pos	tunc
nos	nos	PROper	Case=Nom|Numb=Plur	nos
