form	lemma	POS	morph	treated_token
Ueteris	eeterus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	veteris
instrumenti	instrumentum	NOMcom	Case=Gen|Numb=Sing	instrumenti
narrat	narro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	narrat
historia	historia	NOMcom	Case=Abl|Numb=Sing	historia
sapientissimum	sapiens2	ADJqua	Case=Acc|Numb=Sing|Deg=Sup	sapientissimum
Salomonem	salomon	NOMcom	Case=Acc|Numb=Sing	salomonem
post	post2	PRE	MORPH=empty	post
acceptam	accipio	VER	Case=Acc|Numb=Sing|Mood=Par|Voice=Pass	acceptam
diuinitus	diuinitus	ADV	Deg=Pos	diuinitus
sapientiam	sapientia	NOMcom	Case=Acc|Numb=Sing	sapientiam
prudentiam	prudentia	NOMcom	Case=Acc|Numb=Sing	prudentiam
-que	que	CONcoo	MORPH=empty	-que
multam	multus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	multam
nimis	nimis	ADV	Deg=Pos	nimis
et	et2	CONcoo	MORPH=empty	et
latitudinem	latitudo	NOMcom	Case=Acc|Numb=Sing	latitudinem
cordis	cor	NOMcom	Case=Gen|Numb=Sing	cordis
quasi	quasi1	ADVrel	MORPH=empty	quasi
harenam	arena	NOMcom	Case=Acc|Numb=Sing	harenam
maris	mare	NOMcom	Case=Gen|Numb=Sing	maris
innumerabilem	innumerabilis	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	innumerabilem
ita	ita	ADV	Deg=Pos	ita
ut	ut1	ADVrel	MORPH=empty	ut
domini	dominus	NOMcom	Case=Gen|Numb=Sing	domini
testimonio	testimonium	NOMcom	Case=Dat|Numb=Sing	testimonio
nullus	nullus	PROind	Case=Nom|Numb=Sing	nullus
ei	is	PROdem	Case=Dat|Numb=Sing	ei
similis	similis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	similis
retro	retro1	ADV	Deg=Pos	retro
actis	ago	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	actis
temporibus	tempus?	NOMcom	Case=Abl|Numb=Plur	temporibus
exstitisse	exsisto	VER	Mood=Inf|Tense=Perf|Voice=Act	exstitisse
neque	neque	CONcoo	MORPH=empty	neque
post	post2	PRE	MORPH=empty	post
eum	is	PROdem	Case=Acc|Numb=Sing	eum
surrecturus	surgo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act	surrecturus
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
dicatur	dico?	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	dicatur
illud	ille	PROdem	Case=Acc|Numb=Sing	illud
magnificum	magnificus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	magnificum
