form	lemma	POS	morph	treated_token
Tusculanas	tusculanus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	tusculanas
disputationes	disputatio	NOMcom	Case=Acc|Numb=Plur	disputationes
a	ab	PRE	MORPH=empty	a
se	sui1	PROref	Case=Abl|Numb=Sing	se
confectas	conficio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	confectas
editas	edo?	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	editas
-que	que	CONcoo	MORPH=empty	-que
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
Cicero	cicer	NOMcom	Case=Abl|Numb=Sing	cicero
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
div	diu	ADV	Deg=Pos	diu
.	.	PUNC	MORPH=empty	.
testatur	testor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	testatur
.	.	PUNC	MORPH=empty	.
Ibi	ibi	ADV	Deg=Pos	ibi
enim	enim2	CONcoo	MORPH=empty	enim
postquam	postquam	CONsub	MORPH=empty	postquam
quinque	quinque	ADJcar	Case=Ind	quinque
libros	liber1	NOMcom	Case=Acc|Numb=Plur	libros
de	de	PRE	MORPH=empty	de
finibus	finis	NOMcom	Case=Abl|Numb=Plur	finibus
a	ab	PRE	MORPH=empty	a
se	sui1	PROref	Case=Abl|Numb=Sing	se
conscriptos	conscribo	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	conscriptos
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
commemoravit	commemoro	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	commemorauit
sic	sic	ADV	Deg=Pos	sic
pergit	pergo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	pergit
Totidem	totidem1	PROdem	Case=Ind	totidem
subsecuti	subsequor	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep	subsecuti
libri	liber1	NOMcom	Case=Nom|Numb=Plur	libri
Tusculanarum	tusculanus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	tusculanarum
disputationum	disputatio	NOMcom	Case=Gen|Numb=Plur	disputationum
res	res	NOMcom	Case=Acc|Numb=Plur	res
ad	ad2	PRE	MORPH=empty	ad
beate	beate	ADV	Deg=Pos	beate
vivendum	uiuo	VER	Case=Acc|Numb=Sing|Mood=Ger|Voice=Act	uiuendum
maxime	magis2	ADV	Deg=Sup	maxime
necessarias	necessarius2	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	necessarias
aperuerunt	aperio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	aperuerunt
.	.	PUNC	MORPH=empty	.
primus	primus	ADJord	Case=Nom|Numb=Sing|Deg=Sup	primus
enim	enim2	CONcoo	MORPH=empty	enim
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
de	de	PRE	MORPH=empty	de
contemnenda	contemno	VER	Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass	contemnenda
morte	mors	NOMcom	Case=Abl|Numb=Sing	morte
secundus	secundus2	ADJord	Case=Nom|Numb=Sing|Deg=Pos	secundus
de	de	PRE	MORPH=empty	de
tolerando	tolero	VER	Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass	tolerando
dolore	dolor	NOMcom	Case=Abl|Numb=Sing	dolore
de	de	PRE	MORPH=empty	de
aegritudi	aegritudo	NOMcom	Case=Abl|Numb=Sing	aegritudi
-ne	ne2	CONcoo	MORPH=empty	-ne
lenienda	lenio	VER	Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass	lenienda
tertius	tertius	ADJord	Case=Nom|Numb=Sing|Deg=Pos	tertius
quartus	quartus	ADJord	Case=Nom|Numb=Sing|Deg=Pos	quartus
de	de	PRE	MORPH=empty	de
reliquis	reliquus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	reliquis
animi	animus	NOMcom	Case=Gen|Numb=Sing	animi
perturbationibus	perturbatio	NOMcom	Case=Abl|Numb=Plur	perturbationibus
quintus	quintus	ADJord	Case=Nom|Numb=Sing|Deg=Pos	quintus
eum	is	PROdem	Case=Acc|Numb=Sing	eum
locum	locus	NOMcom	Case=Acc|Numb=Sing	locum
