form	lemma	POS	morph	treated_token
Et	et2	CONcoo	MORPH=empty	et
finxit	fingo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	finxit
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
hominem	homo	NOMcom	Case=Acc|Numb=Sing	hominem
puluerem	puluis	NOMcom	Case=Acc|Numb=Sing	puluerem
de	de	PRE	MORPH=empty	de
terra	terra	NOMcom	Case=Abl|Numb=Sing	terra
et	et2	CONcoo	MORPH=empty	et
flauit	flo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	flauit
in	in	PRE	MORPH=empty	in
faciem	facies	NOMcom	Case=Acc|Numb=Sing	faciem
eius	is	PROdem	Case=Gen|Numb=Sing	eius
flatum	flatum	NOMcom	Case=Acc|Numb=Sing	flatum
uitae	uita	NOMcom	Case=Gen|Numb=Sing	uitae
et	et2	CONcoo	MORPH=empty	et
factus	facio	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	factus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
homo	homo	NOMcom	Case=Nom|Numb=Sing	homo
in	in	PRE	MORPH=empty	in
animam	anima	NOMcom	Case=Acc|Numb=Sing	animam
uiuentem	uiuo	VER	Case=Acc|Numb=Sing|Mood=Par|Voice=Act	uiuentem
.	.	PUNC	MORPH=empty	.
haec	hic1	PROdem	Case=Acc|Numb=Plur	haec
uerba	uerbum	NOMcom	Case=Acc|Numb=Plur	uerba
scripturae	scriptura	NOMcom	Case=Dat|Numb=Plur	scripturae
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
et	et2	CONcoo	MORPH=empty	et
in	in	PRE	MORPH=empty	in
principio	principium	NOMcom	Case=Abl|Numb=Sing	principio
superioris	superus	ADJqua	Case=Gen|Numb=Sing|Deg=Comp	superioris
libri	liber1	NOMcom	Case=Gen|Numb=Sing	libri
consideranda	considero	VER	Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass	consideranda
proposueramus	propono	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=1	proposueramus
et	et2	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
ipso	ipse	PROdem	Case=Abl|Numb=Sing	ipso
homine	homo	NOMcom	Case=Abl|Numb=Sing	homine
facto	facio	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	facto
maxime	magis2	ADV	Deg=Sup	maxime
-que	que	CONcoo	MORPH=empty	-que
de	de	PRE	MORPH=empty	de
eius	is	PROdem	Case=Gen|Numb=Sing	eius
corpore	corpus	NOMcom	Case=Abl|Numb=Sing	corpore
quantum	quantum3	ADVrel	Numb=Sing	quantum
satis	satis2	ADV	Deg=Pos	satis
duximus	duco	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	duximus
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
secundum	secundum2	PRE	MORPH=empty	secundum
scripturas	scriptura	NOMcom	Case=Acc|Numb=Plur	scripturas
uisum	uideo	VER	Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass	uisum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
disseruimus	dissero?	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	disseruimus
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
quia	quia	CONsub	MORPH=empty	quia
de	de	PRE	MORPH=empty	de
anima	anima	NOMcom	Case=Abl|Numb=Sing	anima
humana	humanus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	humana
non	non	ADVneg	MORPH=empty	non
parua	paruus2	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	parua
quaestio	quaestio	NOMcom	Case=Nom|Numb=Sing	quaestio
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ad	ad2	PRE	MORPH=empty	ad
hunc	hic1	PROdem	Case=Acc|Numb=Sing	hunc
eam	is	PROdem	Case=Acc|Numb=Sing	eam
librum	liber1	NOMcom	Case=Acc|Numb=Sing	librum
differendam	differo	VER	Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass	differendam
putauimus	puto	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	putauimus
nescientes	nescio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	nescientes
quantum	quantum1	PROrel	Case=Acc|Numb=Sing	quantum
nos	nos	PROper	Case=Acc|Numb=Plur	nos
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
adiuturus	adiuuo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act	adiuturus
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	esset
recte	recte	ADV	Deg=Pos	recte
loqui	loquor	VER	Mood=Inf|Tense=Pres|Voice=Dep	loqui
cupidos	cupidus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	cupidos
illud	ille	PROdem	Case=Acc|Numb=Sing	illud
tamen	tamen	ADV	Deg=Pos	tamen
scientes	sciens	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	scientes
nisi	nisi	CONsub	MORPH=empty	nisi
quantum	quantum1	PROrel	Case=Acc|Numb=Sing	quantum
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
adiuuaret	adiuuo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	adiuuaret
recte	recte	ADV	Deg=Pos	recte
nos	nos	PROper	Case=Acc|Numb=Plur	nos
non	non	ADVneg	MORPH=empty	non
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
locuturos	loquor	VER	Case=Acc|Numb=Plur|Mood=Inf|Tense=Fut|Voice=Dep	locuturos
.	.	PUNC	MORPH=empty	.
recte	recte	ADV	Deg=Pos	recte
autem	autem	CONcoo	MORPH=empty	autem
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ueraciter	ueraciter	ADV	Deg=Pos	ueraciter
atque	atque1	CONcoo	MORPH=empty	atque
congruenter	congruenter	ADV	Deg=Pos	congruenter
nihil	nihil	PROind	Case=Ind	nihil
audacter	audaciter	ADV	Deg=Pos	audacter
refellendo	refello	VER	Case=Abl|Numb=Sing|Mood=Ger|Voice=Pass	refellendo
nihil	nihil	PROind	Case=Ind	nihil
temere	temere	ADV	Deg=Pos	temere
adfirmando	affirmo	VER	Case=Abl|Numb=Sing|Mood=Ger|Voice=Act	adfirmando
dum	dum2	CONsub	MORPH=empty	dum
adhuc	adhuc	ADV	Deg=Pos	adhuc
dubium	dubius	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	dubium
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
uerum	uerum4	CONcoo	Case=Nom	uerum
falsum	falsus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	falsum
-ne	ne2	CONcoo	MORPH=empty	-ne
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
siue	siue2	CONsub	MORPH=empty	siue
fidei	fides?	NOMcom	Case=Gen|Numb=Sing	fidei
siue	siue2	CONsub	MORPH=empty	siue
scientiae	scientia	NOMcom	Case=Gen|Numb=Sing	scientiae
christianae	christianus1	NOMcom	Case=Gen|Numb=Sing	christianae
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
autem	autem	CONcoo	MORPH=empty	autem
doceri	doceo	VER	Mood=Inf|Tense=Pres|Voice=Pass	doceri
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	potest
uel	uel2	CONcoo	MORPH=empty	uel
rerum	res	NOMcom	Case=Gen|Numb=Plur	rerum
ratione	ratio	NOMcom	Case=Abl|Numb=Sing	ratione
apertissima	apertus	ADJqua	Case=Abl|Numb=Sing|Deg=Sup	apertissima
uel	uel2	CONcoo	MORPH=empty	uel
scripturarum	scriptura	NOMcom	Case=Gen|Numb=Plur	scripturarum
auctoritate	auctoritas	NOMcom	Case=Abl|Numb=Sing	auctoritate
certissima	certus	ADJqua	Case=Nom|Numb=Sing|Deg=Sup	certissima
sine	sine	PRE	MORPH=empty	sine
