form	lemma	POS	morph	treated_token
Clamaui	clamo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	clamaui
toto	totus	PROind	Case=Abl|Numb=Sing	toto
corde	cor	NOMcom	Case=Abl|Numb=Sing	corde
meo	meus	PROpos	Case=Abl|Numb=Sing	meo
exaudi	exaudio	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=1	exaudi
me	ego	PROper	Case=Acc|Numb=Sing	me
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
;	;	PUNC	MORPH=empty	;
iustificationes	iustificatio	NOMcom	Case=Acc|Numb=Plur	iustificationes
tuas	tuus	PROpos	Case=Acc|Numb=Plur	tuas
requiro	requiro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	requiro
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	NOMcom	Case=Acc|Numb=Plur	reliqua
.	.	PUNC	MORPH=empty	.
Inter	inter	PRE	MORPH=empty	inter
multa	multus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	multa
euangelicae	euangelicus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	euangelicae
doctrinae	doctrina	NOMcom	Case=Gen|Numb=Sing	doctrinae
praecepta	praeceptum	NOMcom	Case=Acc|Numb=Plur	praecepta
silentium	silentium	NOMcom	Case=Acc|Numb=Sing	silentium
a	ab	PRE	MORPH=empty	a
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
orandi	oro	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	orandi
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
exigit	exigo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	exigit
ut	ut4	CONsub	MORPH=empty	ut
taciti	tacitus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	taciti
et	et2	CONcoo	MORPH=empty	et
ex	ex	PRE	MORPH=empty	ex
secreto	secretum	NOMcom	Case=Abl|Numb=Sing	secreto
cordis	cor	NOMcom	Case=Gen|Numb=Plur	cordis
deprecemur	deprecor	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1	deprecemur
neque	neque	CONcoo	MORPH=empty	neque
in	in	PRE	MORPH=empty	in
eo	is	PROdem	Case=Abl|Numb=Sing	eo
uocis	uox	NOMcom	Case=Gen|Numb=Sing	uocis
potius	potius	ADV	Deg=Comp	potius
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
officium	officium	NOMcom	Case=Nom|Numb=Sing	officium
quam	quam1	ADVrel	MORPH=empty	quam
mentis	mens	NOMcom	Case=Gen|Numb=Sing	mentis
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
orationis	oratio	NOMcom	Case=Gen|Numb=Sing	orationis
nostrae	noster	PROpos	Case=Gen|Numb=Sing	nostrae
secreta	secretus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	secreta
.	.	PUNC	MORPH=empty	.
quia	quia	CONsub	MORPH=empty	quia
secretorum	secretus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	secretorum
inspector	inspector	NOMcom	Case=Nom|Numb=Sing	inspector
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
audiantur	audio	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	audiantur
.	.	PUNC	MORPH=empty	.
ergo	ergo2	CONcoo	MORPH=empty	ergo
contrarium	contrarius	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	contrarium
euangelicis	euangelicus	ADJqua	Case=Dat|Numb=Plur|Deg=Pos	euangelicis
institutis	institutum	NOMcom	Case=Dat|Numb=Plur	institutis
uidetur	uideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	uidetur
hoc	hic1	PROdem	Case=Nom|Numb=Sing	hoc
.	.	PUNC	MORPH=empty	.
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
propheta	prophetus	NOMcom	Case=Acc|Numb=Sing	propheta
dicens	dico?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	dicens
clamaui	clamo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	clamaui
toto	totus	PROind	Case=Abl|Numb=Sing	toto
corde	cor	NOMcom	Case=Abl|Numb=Sing	corde
meo	meus	PROpos	Case=Abl|Numb=Sing	meo
exaudi	exaudio	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=1	exaudi
me	ego	PROper	Case=Acc|Numb=Sing	me
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
;	;	PUNC	MORPH=empty	;
iustificationes	iustificatio	NOMcom	Case=Acc|Numb=Plur	iustificationes
tuas	tuus	PROpos	Case=Acc|Numb=Plur	tuas
requiro	requiro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	requiro
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
scit	scio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	scit
propheta	prophetus	VER	Case=Acc|Numb=Sing	propheta
clamorem	clamor	NOMcom	Case=Acc|Numb=Sing	clamorem
potius	potius	ADV	Deg=Comp	potius
cordis	cor	NOMcom	Case=Gen|Numb=Plur	cordis
oportere	oportet	VER	Mood=Inf|Tense=Pres|Voice=Act	oportere
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
non	non	ADVneg	MORPH=empty	non
uocis	uox	NOMcom	Case=Gen|Numb=Sing	uocis
et	et2	CONcoo	MORPH=empty	et
idcirco	idcirco	ADV	Deg=Pos	idcirco
de	de	PRE	MORPH=empty	de
corde	cor	NOMcom	Case=Abl|Numb=Sing	corde
clamat	clamo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	clamat
.	.	PUNC	MORPH=empty	.
non	non	ADVneg	MORPH=empty	non
hic	hic2	ADV	Deg=Pos	hic
elatae	elatus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos|Tense=Perf|Voice=Pass	elatae
uocis	uox	NOMcom	Case=Gen|Numb=Sing	uocis
sonus	sonus	NOMcom	Case=Nom|Numb=Sing	sonus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
neque	neque	CONcoo	MORPH=empty	neque
corporalis	corporalis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	corporalis
