form	lemma	POS	morph	treated_token
Tertius	tertius	ADJord	Case=Nom|Numb=Sing|Deg=Pos	tertius
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
conflictus	conflictus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	conflictus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
aduersus	aduersus3	PRE	MORPH=empty	aduersus
filargyriam	filargyria	NOMcom	Case=Acc|Numb=Sing	filargyriam
quam	qui1	PROrel	Case=Acc|Numb=Sing	quam
nos	nos	PROper	Case=Nom|Numb=Plur	nos
amorem	amor	NOMcom	Case=Acc|Numb=Sing	amorem
pecuniarum	pecunia	NOMcom	Case=Gen|Numb=Plur	pecuniarum
possumus	possum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	possumus
appellare	appello?	VER	Mood=Inf|Tense=Pres|Voice=Act	appellare
peregrinum	peregrinus2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	peregrinum
bellum	bellum	NOMcom	Case=Acc|Numb=Sing	bellum
et	et2	CONcoo	MORPH=empty	et
extra	extra2	PRE	MORPH=empty	extra
naturam	natura	NOMcom	Case=Acc|Numb=Sing	naturam
nec	nec2	CONcoo	MORPH=empty	nec
aliunde	aliunde	ADV	Deg=Pos	aliunde
in	in	PRE	MORPH=empty	in
monacho	monachus	NOMcom	Case=Abl|Numb=Sing	monacho
sumens	sumo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	sumens
principium	principium	NOMcom	Case=Nom|Numb=Sing	principium
quam	quam1	ADVrel	MORPH=empty	quam
de	de	PRE	MORPH=empty	de
corruptae	corrumpo	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	corruptae
ac	ac1	CONcoo	MORPH=empty	ac
torpidae	torpida	NOMcom	Case=Gen|Numb=Sing	torpidae
mentis	mens	NOMcom	Case=Gen|Numb=Sing	mentis
ignauia	ignauia	NOMcom	Case=Abl|Numb=Sing	ignauia
et	et2	CONcoo	MORPH=empty	et
plerumque	plerumque	ADV	Deg=Pos	plerumque
initio	initium	NOMcom	Case=Abl|Numb=Sing	initio
abrenuntiationis	abrenuntiatio	NOMcom	Case=Gen|Numb=Sing	abrenuntiationis
male	male	ADV	Deg=Pos	male
arrepto	arripio	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	arrepto
et	et2	CONcoo	MORPH=empty	et
erga	erga	PRE	MORPH=empty	erga
deum	deus	NOMcom	Case=Acc|Numb=Plur	deum
tepido	tepidus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	tepido
amore	amor	NOMcom	Case=Abl|Numb=Sing	amore
fundato	fundo?	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act|Person=2	fundato
.	.	PUNC	MORPH=empty	.
cetera	cetera1	NOMcom	Case=Nom|Numb=Plur|Deg=Pos	cetera
namque	namque	CONcoo	MORPH=empty	namque
uitiorum	uitium	NOMcom	Case=Gen|Numb=Plur	uitiorum
incitamenta	incitamentum	NOMcom	Case=Nom|Numb=Plur	incitamenta
humanae	humanus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	humanae
inserta	insero?	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	inserta
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
uelut	uelut1	ADVrel	MORPH=empty	uelut
ingenita	ingenitus1	ADJqua	Case=Nom|Numb=Plur|Deg=Pos|Voice=Pass	ingenita
uidentur	uideo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	uidentur
in	in	PRE	MORPH=empty	in
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act	habere
principia	principium	NOMcom	Case=Acc|Numb=Plur	principia
et	et2	CONcoo	MORPH=empty	et
quodammodo	quodammodo	ADV	Deg=Pos	quodammodo
