form	lemma	POS	morph	treated_token
Feci	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	feci
iudicium	iudicium	NOMcom	Case=Acc|Numb=Sing	iudicium
et	et2	CONcoo	MORPH=empty	et
iustitiam	iustitia	NOMcom	Case=Acc|Numb=Sing	iustitiam
non	non	ADVneg	MORPH=empty	non
tradas	trado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2	tradas
me	ego	PROper	Case=Acc|Numb=Sing	me
persequentibus	persequor	VER	Case=Dat|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep	persequentibus
me	ego	PROper	Case=Acc|Numb=Sing	me
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Plur	reliqua
.	.	PUNC	MORPH=empty	.
Et	et2	CONcoo	MORPH=empty	et
in	in	PRE	MORPH=empty	in
psalmi	psalmus	NOMcom	Case=Gen|Numb=Sing	psalmi
exordio	exordium	NOMcom	Case=Abl|Numb=Sing	exordio
et	et2	CONcoo	MORPH=empty	et
deinceps	deinceps	ADV	Deg=Pos	deinceps
frequenter	frequenter	ADV	Deg=Pos	frequenter
meminimus	memini	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	meminimus
per	per	PRE	MORPH=empty	per
singularum	singulus	ADJdis	Case=Gen|Numb=Plur	singularum
litterarum	littera	NOMcom	Case=Gen|Numb=Plur	litterarum
quasi	quasi1	ADVrel	MORPH=empty	quasi
elementa	elementa	NOMcom	Case=Acc|Numb=Plur	elementa
discendi	disco	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	discendi
doctrina	doctrina	NOMcom	Case=Abl|Numb=Sing	doctrina
nos	nos	PROper	Case=Acc|Numb=Plur	nos
pietatis	pietas	NOMcom	Case=Gen|Numb=Sing	pietatis
fidei	fides?	NOMcom	Case=Gen|Numb=Sing	fidei
et	et2	CONcoo	MORPH=empty	et
timoris	timor	NOMcom	Case=Gen|Numb=Sing	timoris
institui	instituo	VER	Mood=Inf|Tense=Pres|Voice=Pass	institui
et	et2	CONcoo	MORPH=empty	et
ut	ut1	ADVrel	MORPH=empty	ut
rudem	rudis2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	rudem
infantiam	infantia	NOMcom	Case=Acc|Numb=Sing	infantiam
ad	ad2	PRE	MORPH=empty	ad
loquendi	loquor	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep	loquendi
scientiam	scientia	NOMcom	Case=Acc|Numb=Sing	scientiam
quam	qui2	ADVrel	MORPH=empty	quam
et	et2	CONcoo	MORPH=empty	et
agendi	ago	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	agendi
doctrina	doctrina	NOMcom	Case=Nom|Numb=Sing	doctrina
consequitur	consequor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	consequitur
ipsis	ipse	PROdem	Case=Dat|Numb=Plur	ipsis
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
uocis	uox	NOMcom	Case=Gen|Numb=Sing	uocis
initiis	initium	NOMcom	Case=Abl|Numb=Plur	initiis
erudiri	erudio	VER	Mood=Inf|Tense=Pres|Voice=Pass	erudiri
quod	quod2	CONsub	MORPH=empty	quod
ex	ex	PRE	MORPH=empty	ex
praesentibus	praesens	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	praesentibus
sextae	sextus	ADJord	Case=Nom|Numb=Plur|Deg=Pos	sextae
et	et2	CONcoo	MORPH=empty	et
decimae	decimus	ADJord	Case=Gen|Numb=Sing|Deg=Pos	decimae
litterae	littera	NOMcom	Case=Nom|Numb=Plur	litterae
octo	octo	ADJcar	Case=Ind	octo
uersibus	uersus1	NOMcom	Case=Abl|Numb=Plur	uersibus
intellegi	intelligo	VER	Mood=Inf|Tense=Pres|Voice=Pass	intellegi
licet	licet1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	licet
.	.	PUNC	MORPH=empty	.
propheta	prophetus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	propheta
enim	enim2	CONcoo	MORPH=empty	enim
ex	ex	PRE	MORPH=empty	ex
persona	persona	NOMcom	Case=Abl|Numb=Sing	persona
sua	suus	PROpos.ref	Case=Abl|Numb=Sing	sua
uniuersos	uniuersus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	uniuersos
docet	doceo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	docet
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
uelle	uolo?	VER	Mood=Inf|Tense=Pres|Voice=Act	uelle
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
agere	ago	VER	Mood=Inf|Tense=Pres|Voice=Act	agere
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
profiteri	profiteor	VER	Mood=Inf|Tense=Pres|Voice=Dep	profiteri
unumquemque	unusquisque	PROind	Case=Acc|Numb=Sing	unumquemque
pro	pro1	PRE	MORPH=empty	pro
conscientia	conscientia	NOMcom	Case=Abl|Numb=Sing	conscientia
infirmitatis	infirmitas	NOMcom	Case=Gen|Numb=Sing	infirmitatis
ac	ac1	CONcoo	MORPH=empty	ac
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
suae	suus	PROpos.ref	Case=Gen|Numb=Sing	suae
utile	utilis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	utile
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
etiam	etiam	ADV	Deg=Pos	etiam
metui	metuo	VER	Mood=Inf|Tense=Pres|Voice=Pass|Person=1	metui
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
caueri	caueo	VER	Mood=Inf|Tense=Pres|Voice=Pass	caueri
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
emundari	emundo	VER	Mood=Inf|Tense=Pres|Voice=Pass	emundari
oporteat	oportet	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	oporteat
.	.	PUNC	MORPH=empty	.
beatus	beatus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	beatus
idem	idem	PROdem	Case=Nom|Numb=Sing	idem
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
per	per	PRE	MORPH=empty	per
misericordiam	misericordia	NOMcom	Case=Acc|Numb=Sing	misericordiam
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
et	et2	CONcoo	MORPH=empty	et
uniuersis	uniuersi	NOMcom	Case=Dat|Numb=Plur	uniuersis
doctor	doctor	NOMcom	Case=Nom|Numb=Sing	doctor
et	et2	CONcoo	MORPH=empty	et
prospector	prospector	NOMcom	Case=Nom|Numb=Sing	prospector
et	et2	CONcoo	MORPH=empty	et
emundator	emundator	NOMcom	Case=Nom|Numb=Sing	emundator
et	et2	CONcoo	MORPH=empty	et
iudex	iudex	NOMcom	Case=Nom|Numb=Sing	iudex
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
certe	certe	ADV	Deg=Pos	certe
dignitati	dignitas	NOMcom	Case=Dat|Numb=Sing	dignitati
eius	is	PROdem	Case=Gen|Numb=Sing	eius
decentissimum	decens	ADJqua	Case=Nom|Numb=Sing|Deg=Sup	decentissimum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut1	ADVrel	MORPH=empty	ut
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
spiritu	spiritus	NOMcom	Case=Abl|Numb=Sing	spiritu
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
loquitur	loquor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	loquitur
ea	is	PROdem	Case=Acc|Numb=Plur	ea
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
et	et2	CONcoo	MORPH=empty	et
salutis	salus	NOMcom	Case=Gen|Numb=Sing	salutis
et	et2	CONcoo	MORPH=empty	et
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
eloquatur	eloquor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	eloquatur
.	.	PUNC	MORPH=empty	.
Ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
enim	enim2	CONcoo	MORPH=empty	enim
ita	ita	ADV	Deg=Pos	ita
feci	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	feci
iudicium	iudicium	NOMcom	Case=Acc|Numb=Sing	iudicium
et	et2	CONcoo	MORPH=empty	et
iustitiam	iustitia	NOMcom	Case=Acc|Numb=Sing	iustitiam
non	non	ADVneg	MORPH=empty	non
tradas	trado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2	tradas
me	ego	PROper	Case=Acc|Numb=Sing	me
nocentibus	nocens	ADJqua	Case=Dat|Numb=Plur|Deg=Pos|Voice=Act	nocentibus
me	ego	PROper	Case=Acc|Numb=Sing	me
.	.	PUNC	MORPH=empty	.
facit	facio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	facit
placentia	placeo	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	placentia
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
opera	opus?	NOMcom	Case=Acc|Numb=Plur	opera
et	et2	CONcoo	MORPH=empty	et
quia	quia	CONsub	MORPH=empty	quia
facit	facio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	facit
ne	ne4	CONsub	MORPH=empty	ne
nocentibus	nocens	ADJqua	Case=Dat|Numb=Plur	nocentibus
se	sui1	PROref	Case=Acc|Numb=Sing	se
tradatur	trado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	tradatur
orat	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	orat
.	.	PUNC	MORPH=empty	.
opus	opus?	NOMcom	Case=Nom|Numb=Sing	opus
merendi	mereor	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep	merendi
antefertur	antefero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	antefertur
et	et2	CONcoo	MORPH=empty	et
dehinc	dehinc	ADV	Deg=Pos	dehinc
meriti	meritum	VER	Case=Gen|Numb=Sing	meriti
praemium	praemium	NOMcom	Case=Nom|Numb=Sing	praemium
postulatur	postulo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	postulatur
.	.	PUNC	MORPH=empty	.
fit	fio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	fit
enim	enim2	CONcoo	MORPH=empty	enim
primum	primum	ADJadv.ord	Deg=Sup	primum
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
placeat	placeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	placeat
;	;	PUNC	MORPH=empty	;
et	et2	CONcoo	MORPH=empty	et
tum	tum	ADV	Deg=Pos	tum
dignatio	dignatio	NOMcom	Case=Nom|Numb=Sing	dignatio
eius	is	PROdem	Case=Gen|Numb=Sing	eius
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
per	per	PRE	MORPH=empty	per
opus	opus?	NOMcom	Case=Acc|Numb=Sing	opus
placetur	placo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	placetur
oratur	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	oratur
.	.	PUNC	MORPH=empty	.
at	at2	CONcoo	MORPH=empty	at
nos	nos	PROper	Case=Nom|Numb=Plur	nos
nec	nec2	CONcoo	MORPH=empty	nec
operamur	operor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1	operamur
nec	nec2	CONcoo	MORPH=empty	nec
placemus	placo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	placemus
quin	quin1	ADV	Deg=Pos	quin
etiam	etiam	ADV	Deg=Pos	etiam
impiis	impius	ADJqua	Case=Dat|Numb=Plur|Deg=Pos	impiis
et	et2	CONcoo	MORPH=empty	et
inreligiosis	irreligiosus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	inreligiosis
rebus	res	NOMcom	Case=Abl|Numb=Plur	rebus
offendimus	offendo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	offendimus
;	;	PUNC	MORPH=empty	;
et	et2	CONcoo	MORPH=empty	et
quia	quia	CONsub	MORPH=empty	quia
tales	talis	PROdem	Case=Nom|Numb=Plur	tales
non	non	ADVneg	MORPH=empty	non
irascimur	irascor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1	irascimur
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
dignum	dignus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	dignum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
contueri	contueor	VER	Mood=Inf|Tense=Pres|Voice=Dep	contueri
qualia	qualis1	PROrel	Case=Nom|Numb=Plur	qualia
sint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sint
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
propheta	prophetus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	propheta
faciens	facio	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	faciens
ne	ne4	CONsub	MORPH=empty	ne
nocentibus	nocens	ADJqua	Case=Dat|Numb=Plur|Deg=Pos	nocentibus
se	sui1	PROref	Case=Acc|Numb=Sing	se
tradatur	trado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	tradatur
orat	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	orat
.	.	PUNC	MORPH=empty	.
Et	et2	CONcoo	MORPH=empty	et
omnia	omnis	PROind	Case=Acc|Numb=Plur	omnia
quaecumque	quicumque1	PROrel	Case=Acc|Numb=Plur	quaecumque
quis	quis2	PROind	Case=Nom|Numb=Sing	quis
timens	timeo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	timens
deum	deus	NOMcom	Case=Gen|Numb=Plur	deum
fecerit	facio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	fecerit
utilia	utilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	utilia
ei	is	PROdem	Case=Dat|Numb=Sing	ei
atque	atque1	CONcoo	MORPH=empty	atque
pulchra	pulcher	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	pulchra
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
.	.	PUNC	MORPH=empty	.
pudicitiam	pudicitia	NOMcom	Case=Acc|Numb=Sing	pudicitiam
quis	qui1	PROrel	Case=Nom|Numb=Sing	quis
colens	colo2	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	colens
gloriosum	gloriosus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	gloriosum
ac	ac1	CONcoo	MORPH=empty	ac
nitens	nitor2	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep	nitens
sordenti	sordens	ADJqua	Case=Dat|Numb=Sing|Deg=Pos	sordenti
corporis	corpus	NOMcom	Case=Gen|Numb=Sing	corporis
sui	suus	PROpos.ref	Case=Gen|Numb=Sing	sui
carni	caro1	NOMcom	Case=Gen|Numb=Sing	carni
lumen	lumen	NOMcom	Case=Acc|Numb=Sing	lumen
inuexit	inueho	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	inuexit
.	.	PUNC	MORPH=empty	.
contemptum	contemptus2	ADJqua	Case=Acc|Numb=Sing	contemptum
uero	uero4	CONcoo	MORPH=empty	uero
pecuniae	pecunia	NOMcom	Case=Gen|Numb=Sing	pecuniae
adsumens	assumo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	adsumens
liberum	liberi	NOMcom	Case=Acc|Numb=Sing|Deg=Pos	liberum
se	sui1	PROref	Case=Acc|Numb=Sing	se
a	ab	PRE	MORPH=empty	a
terrenis	terrenus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	terrenis
dominationibus	dominatio	NOMcom	Case=Abl|Numb=Plur	dominationibus
reseruauit	reseruo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	reseruauit
.	.	PUNC	MORPH=empty	.
frugalitatem	frugalitas	NOMcom	Case=Acc|Numb=Sing	frugalitatem
autem	autem	CONcoo	MORPH=empty	autem
et	et2	CONcoo	MORPH=empty	et
parsimoniam	parsimonia	NOMcom	Case=Acc|Numb=Sing	parsimoniam
diligens	diligens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	diligens
nobilitatem	nobilitas	NOMcom	Case=Acc|Numb=Sing	nobilitatem
animae	anima	NOMcom	Case=Gen|Numb=Sing	animae
caelestis	caelestis	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	caelestis
captiuam	captiuus2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	captiuam
ebrietati	ebrietas	NOMcom	Case=Dat|Numb=Sing	ebrietati
non	non	ADVneg	MORPH=empty	non
dereliquit	derelinquo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	dereliquit
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
quamuis	quamuis2	CONsub	MORPH=empty	quamuis
magna	magnus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	magna
atque	atque1	CONcoo	MORPH=empty	atque
praeclara	praeclarus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	praeclara
sint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sint
tamen	tamen	ADV	Deg=Pos	tamen
quia	quia	CONsub	MORPH=empty	quia
prophetae	prophetus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	prophetae
propria	proprius	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	propria
ei	is	PROdem	Case=Dat|Numb=Sing	ei
-que	que	CONcoo	MORPH=empty	-que
tantummodo	tantummodo	ADV	Deg=Pos	tantummodo
utilia	utilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	utilia
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
non	non	ADVneg	MORPH=empty	non
referuntur	refero	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	referuntur
ad	ad2	PRE	MORPH=empty	ad
meritum	meritum	NOMcom	Case=Acc|Numb=Sing	meritum
.	.	PUNC	MORPH=empty	.
Sed	sed	CONcoo	MORPH=empty	sed
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
fecit	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	fecit
ut	ut4	CONsub	MORPH=empty	ut
non	non	ADVneg	MORPH=empty	non
tradi	trado	VER	Mood=Inf|Tense=Pres|Voice=Pass	tradi
se	sui1	PROref	Case=Acc|Numb=Sing	se
nocentibus	nocens	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	nocentibus
deprecetur	deprecor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	deprecetur
iudicium	iudicium	NOMcom	Case=Acc|Numb=Sing	iudicium
scilicet	scilicet	ADV	Deg=Pos	scilicet
et	et2	CONcoo	MORPH=empty	et
iustitiam	iustitia	NOMcom	Case=Acc|Numb=Sing	iustitiam
;	;	PUNC	MORPH=empty	;
nihil	nihil	PROind	Case=Ind	nihil
inconsultum	inconsultus2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	inconsultum
nihil	nihil	PROind	Case=Ind	nihil
iniustum	iniustus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	iniustum
agens	ago	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	agens
sed	sed	CONcoo	MORPH=empty	sed
primum	primus	ADJadv.ord	Numb=Sing|Deg=Sup	primum
iudicium	iudicium	NOMcom	Case=Nom|Numb=Sing	iudicium
;	;	PUNC	MORPH=empty	;
