lemma	prediction	token	number
cataclita	cataxlestus	cataclistis	1
syrma	syrmates	syrmate	1
hyaena	Hyaena	Hyaenam	1
pascor	pasco	pastus	1
tardigradus	tardigra	tardigrada	1
oppido	oppidum	oppido	1
chamaeleon	Chamaeleon	Chamaeleontem	1
chamaeleon	Chamaele	Chamaeleon	1
chamaeleon	chamaele	chamaeleon	1
chamaeleon	chamaeles	chamaeleonti	1
amplus	ample	amplius	1
quod	qui	quod	14
quod	quis	quod	1
uertigino	uertigo	uertiginant	1
inuestis	inuestus	inuestis	1
licitus	licet	licitum	1
licitus	licet	licita	1
qui	quod	quod	19
qui	quod	Quod	2
qui	quis	Quas	1
qui	quis	quo	1
qui	quis	qui	1
qui	quo	quo	3
qui	quam	quam	1
Osiris	Osirides	Osiridis	1
Ammon	ammon	Ammon	1
palpo	palpatus	palpati	1
lanitium	lanicia	lanicii	1
Arachne	Arachnes	Arachnen	1
Baetica	Baeticus	Baetica	1
lautus	plautus	plautiores	1
aer	aes	aerem	1
liquo	liquor	liquando	1
idonee	idone	idonius	1
uestificina	uestificium	uestificinae	1
qua	qui	qua	1
exsertus	exsero	exertus	1
Graeci	Graecus	Graecis	1
daemonium	daemonius	daemoniorum	1
daemonium	daemonia	daemonia	1
Sol	solus	Soli	1
idolum	idole	idola	1
idolum	idolus	idola	3
idolum	idoles	idolis	1
idololatria	idolelatria	idololatriae	2
idololatria	idolelatria	idololatria	1
idololatria	idolelatia	idololatriae	1
russeus	russe	russeus	1
russeus	russe	russeum	1
Terra	terra	Terrae	1
uenetus	uenetum	uenetum	1
mare	Mare	Mari	1
circensis	circenses	circenses	1
consuo	consuens	consuentes	1
ethnicus	ethicus	ethnicis	1
magnus	Magnus	Magnus	1
magnus	maiores	maioribus	1
Uenus	uenus	Ueneris	1
praetego	praetexo	praetexit	1
coniuro	coniuratus	coniurata	1
musa	Musa	Musas	1
musa	Musa	Musae	1
Mercurius	Mercurii	Mercurios	1
christianus	Christianus	Christiane	1
christianus	Christianus	Christianam	1
christianus	Christianus	Christianae	1
quis	qui	qui	2
quis	qui	Quo	1
quis	qui	quem	1
instituo	institutum	institutis	2
operor	operio	operentur	1
operor	operio	operetur	1
daemon	deemoneo	daemones	1
daemon	deemona	daemonas	1
agon	agonus	agonum	1
Samuel	Samuela	Samuelis	2
Samuel	Samuela	Samuel	1
Samuel	Samules	Samuel	1
Samuel	Samuelae	Samuelis	1
Dauid	Dauidis	Dauid	6
Dauid	Dauidas	Dauid	2
Dauid	do	Dauid	1
Dauid	Dauides	Dauid	1
Dauid	Dauidus	Dauid	1
Saul	Salle	Saule	1
Saul	Saulus	Saule	1
terrenus	terrena	terrena	2
terrenus	terrena	terrenam	1
Ierusalem	Hierusalis	Hierusalem	14
futurus	sum	futurarum	1
futurus	sum	futurae	1
futurus	sum	futuram	1
Iesus	iesus	Iesus	3
Iesus	iesus	Iesu	2
Iesus	iesum	Iesum	4
Heli	Helus	Heli	1
Mater	mater	Mater	1
ablacto	aufactatus	ablactatum	1
salutare	salutaris	salutari	3
salutare	salutaris	salutare	1
magniloquium	magniloquus	magniloquium	2
minoro	minor	minorati	4
iustus	iustum	iusti	2
caelus	caelum	caelos	4
auerto	auersus	auersa	1
hymnus	hymus	hymnus	1
hymnus	hymus	hymni	1
hymnus	hymus	hymno	1
hymnus	omnis	Ymnum	1
exter	extremum	extremo	1
Christus	Christis	Christi	6
Christus	Christis	Christe	1
Christus	Christi	Christi	11
Christus	Christi	Christe	1
Christus	Christius	Christi	5
tantus	tanto	tanto	1
sanctifico	sanctificans	sanctificans	1
terrigenus	terrigena	terrigenae	1
uolo	uolens	uolentes	1
uolo	uolens	uolente	1
uolo	uolens	uolens	1
uolo	uis	uis	1
subicio	subiectus	subiecti	1
sufficio	sufficiens	sufficientia	1
caelestis	caelestia	caelestia	1
caelestis	caelestia	caelestibus	3
caelestis	caelestes	caelestibus	1
huc	hic	hoc	2
Ioannes	Iohanne	Iohannes	4
Ioannes	Iohannes	Iohannes	1
suffulcio	suffulgeo	subfulsit	1
uiuifico	uiuo	uiuificauit	2
uiuifico	uiuo	uiuificare	1
prophetia	propetium	prophetia	1
prophetia	propetium	prophetiae	1
prophetia	propetius	prophetiae	3
infernum	infernus	inferno	1
bene	bonus	melius	1
erigo	erectus	erectus	2
Iudaei	ludauis	ludaei	1
apostolus	apostolunus	apostolus	2
apostolus	apostolum	apostoli	4
apostolus	apostolum	apostolorum	2
apostolus	apostolum	apostolo	1
apostolus	apostol	apostoli	1
apostolus	apostola	apostolis	1
uoueo	uouens	uouenti	3
primus	primum	primum	2
primus	primo	primo	2
dico	dictum	dictum	4
bonus	bonum	bonum	1
bonus	bonum	Bonum	1
malus	malum	malum	3
blasphemo	blaephomo	blasphemet	1
psalmus	psalmum	psalmo	2
psalmus	psalma	psalmis	1
facio	factum	facta	1
facio	factum	factum	4
facio	factum	facti	1
propheto	prophetatus	prophetatum	1
propheto	propeto	prophetauit	2
propheto	propenlo	prophetare	1
adimpleo	adipisco	adinpleret	1
comminor	commino	comminatus	1
Esaias	Esaius	Esaiam	1
Esaias	Esaius	Esaia	1
Esaias	Isaius	Isaias	1
propheta	propeta	prophetam	3
propheta	propeta	propheta	4
propheta	propeta	prophetae	2
propheta	propetus	propheta	4
propheta	propetus	prophetam	1
propheta	propeto	propheta	1
alius	alias	alias	1
dubium	dubius	dubio	1
intelligo	intellectus	intellectus	1
ungo	unctus	unctos	1
uoto	uotum	uotam	1
consortio	consortium	consortio	1
debitum	debeo	debitum	4
debitum	debeo	debita	1
Satanas	Satanae	Satanas	1
subiectus	subicio	subiectam	1
tentatio	temptatio	temptatione	1
propositum	propono	proposito	2
propositum	propono	propositum	1
quantumlibet	quantuslibet	quantumlibet	1
contristo	contristor	contristor	1
humile	humilis	humilius	1
obedienter	obediens	oboedientius	1
sancte	sanctus	sanctius	1
terrena	terrenus	terrenis	1
scandalizo	scandalis	scandalizares	1
eruo	eruum	erui	1
pauci	paucus	pauci	2
episcopus	episcops	episcopis	1
episcopus	episcops	episcopos	2
episcopus	episcops	episcopi	1
Defensor	defensor	Defensor	2
lego	lectus	lecto	1
lego	lectus	lectum	1
lego	lectus	Lecto	1
