form	lemma	POS	morph	treated_token
Sufficienter	sufficienter	ADV	Deg=Pos	sufficienter
ut	ut1	ADVrel	MORPH=empty	ut
arbitror	arbitror	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1	arbitror
et	et2	CONcoo	MORPH=empty	et
per	per	PRE	MORPH=empty	per
libros	liber1	NOMcom	Case=Acc|Numb=Plur	libros
antiquitatum	antiquitas	NOMcom	Case=Gen|Numb=Plur	antiquitatum
opulentissime	opulenter	ADV	Deg=Sup	opulentissime
uirorum	uir	NOMcom	Case=Gen|Numb=Plur	uirorum
Epaphrodite	epaphrodite	ADV	MORPH=empty	epaphrodite
legentibus	lego?	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	legentibus
eos	is	PROdem	Case=Acc|Numb=Plur	eos
aperui	aperio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	aperui
de	de	PRE	MORPH=empty	de
nostro	noster	PROpos	Case=Abl|Numb=Sing	nostro
genere	genus?	NOMcom	Case=Abl|Numb=Sing	genere
Iudaeorum	iudaeum	NOMcom	Case=Gen|Numb=Plur	iudaeorum
quia	quia	CONsub	MORPH=empty	quia
et	et2	CONcoo	MORPH=empty	et
uetustissimum	uetustus	ADJqua	Case=Nom|Numb=Sing|Deg=Sup	uetustissimum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
et	et2	CONcoo	MORPH=empty	et
primam	primus	ADJord	Case=Acc|Numb=Sing|Deg=Sup	primam
conscientiam	conscientia	NOMcom	Case=Acc|Numb=Sing	conscientiam
propriam	proprius	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	propriam
habuit	habeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	habuit
nec	nec2	CONcoo	MORPH=empty	nec
non	non	ADVneg	MORPH=empty	non
et	et1	ADV	MORPH=empty	et
quemadmodum	quemadmodum1	ADVrel	MORPH=empty	quemadmodum
regionem	regio	NOMcom	Case=Acc|Numb=Sing	regionem
quam	qui1	PROrel	Case=Acc|Numb=Sing	quam
nunc	nunc	ADV	Deg=Pos	nunc
habuimus	habeo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	habuimus
habitauit	habito	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	habitauit
.	.	PUNC	MORPH=empty	.
quinque	quinque	ADJcar	Case=Ind	quinque
milia	mille	ADJcar	Case=Acc|Numb=Plur	milia
enim	enim2	CONcoo	MORPH=empty	enim
annorum	annus	NOMcom	Case=Gen|Numb=Plur	annorum
numerum	numerus	NOMcom	Case=Acc|Numb=Sing	numerum
historiam	historia	NOMcom	Case=Acc|Numb=Sing	historiam
continentem	continens1	NOMcom	Case=Acc|Numb=Sing	continentem
ex	ex	PRE	MORPH=empty	ex
nostris	noster	PROpos	Case=Abl|Numb=Plur	nostris
sacris	sacer	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	sacris
libris	liber1	NOMcom	Case=Abl|Numb=Plur	libris
Graeco	graecus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	graeco
sermone	sermo	NOMcom	Case=Abl|Numb=Sing	sermone
conscripsi	conscribo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	conscripsi
.	.	PUNC	MORPH=empty	.
quoniam	quoniam	CONsub	MORPH=empty	quoniam
uero	uero4	CONcoo	MORPH=empty	uero
multos	multi	NOMcom	Case=Acc|Numb=Plur	multos
uideo	uideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	uideo
respicientes	respicio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	respicientes
blasphemiam	blasphemia	NOMcom	Case=Acc|Numb=Sing	blasphemiam
quorundam	quidam	PROind	Case=Gen|Numb=Plur	quorundam
insane	insane	ADV	Deg=Pos	insane
prolatam	profero	VER	Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass	prolatam
et	et2	CONcoo	MORPH=empty	et
ea	is	PROdem	Case=Acc|Numb=Plur	ea
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
a	ab	PRE	MORPH=empty	a
me	ego	PROper	Case=Abl|Numb=Sing	me
de	de	PRE	MORPH=empty	de
antiquitate	antiquitas	NOMcom	Case=Abl|Numb=Sing	antiquitate
conscripta	conscribo	VER	Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass|Person=3	conscripta
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
non	non	ADVneg	MORPH=empty	non
credentes	credo	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	credentes
putantes	puto	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	putantes
indicium	indicium	NOMcom	Case=Nom|Numb=Sing	indicium
quasi	quasi2	CONsub	MORPH=empty	quasi
nouellum	nouellus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	nouellum
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
nostrum	noster	PROpos	Case=Nom|Numb=Sing	nostrum
genus	genus?	NOMcom	Case=Nom|Numb=Sing	genus
eo	is	PROdem	Case=Abl|Numb=Sing	eo
quod	quod2	CONsub	MORPH=empty	quod
nulla	nullus	PROind	Case=Abl|Numb=Sing	nulla
memoria	memoria	NOMcom	Case=Nom|Numb=Sing	memoria
apud	apud	PRE	MORPH=empty	apud
Graecorum	graecus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	graecorum
nobiles	nobilis2	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	nobiles
historiographos	historiograpus	NOMcom	Case=Acc|Numb=Plur	historiographos
digni	dignus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	digni
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
habiti	habeo	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	habiti
nostri	noster	PROpos	Case=Nom|Numb=Plur	nostri
maiores	maiores	NOMcom	Case=Nom|Numb=Plur	maiores
pro	pro1	PRE	MORPH=empty	pro
omnibus	omnis	PROind	Case=Abl|Numb=Plur	omnibus
his	hic1	PROdem	Case=Abl|Numb=Plur	his
arbitratus	arbitror	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	arbitratus
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sum
oportere	oportet	VER	Mood=Inf|Tense=Pres|Voice=Act	oportere
me	ego	PROper	Case=Acc|Numb=Sing	me
breuiter	breuiter	ADV	Deg=Pos	breuiter
haec	hic1	PROdem	Case=Acc|Numb=Plur	haec
dicta	dictum	NOMcom	Case=Acc|Numb=Plur	dicta
conscribere	conscribo	VER	Mood=Inf|Tense=Pres|Voice=Act	conscribere
et	et2	CONcoo	MORPH=empty	et
derogantium	derogo	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	derogantium
quidem	quidem	ADV	Deg=Pos	quidem
uesaniam	uesania	NOMcom	Case=Acc|Numb=Sing	uesaniam
spontaneum	spontaneus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	spontaneum
-que	que	CONcoo	MORPH=empty	-que
increpare	increpo	VER	Mood=Inf|Tense=Pres|Voice=Act	increpare
mendacium	mendacium	NOMcom	Case=Acc|Numb=Sing	mendacium
aliorum	alius	PROind	Case=Gen|Numb=Plur	aliorum
