form	lemma	POS	morph	treated_token
Quomodo	quomodo2	ADVint	MORPH=empty	quomodo
dilexi	diligo3	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dilexi
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
tuam	tuus	PROpos	Case=Acc|Numb=Sing	tuam
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
tota	totus	PROind	Case=Nom|Numb=Sing	tota
die	dies	NOMcom	Case=Abl|Numb=Sing	die
meditatio	meditatio	NOMcom	Case=Nom|Numb=Sing	meditatio
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
.	.	PUNC	MORPH=empty	.
Utile	itilis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	vtile
hoc	hic1	PROdem	Case=Nom|Numb=Sing	hoc
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
ac	ac1	CONcoo	MORPH=empty	ac
necessarium	necessarius2	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	necessarium
prophetae	prophetus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	prophetae
opus	opus?	NOMcom	Case=Ind	opus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
quod	quod2	CONsub	MORPH=empty	quod
ad	ad2	PRE	MORPH=empty	ad
perfectam	perfectus2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	perfectam
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
cognitionem	cognitio	NOMcom	Case=Acc|Numb=Sing	cognitionem
atque	atque1	CONcoo	MORPH=empty	atque
oboeditionem	obedio	NOMcom	Case=Acc|Numb=Sing	oboeditionem
edocemur	edoceo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=1	edocemur
.	.	PUNC	MORPH=empty	.
duabus	duo	ADJcar	Case=Abl|Numb=Plur	duabus
rebus	res	NOMcom	Case=Abl|Numb=Plur	rebus
maxime	magis2	ADV	Deg=Sup	maxime
nostrae	noster	PROpos	Case=Gen|Numb=Sing	nostrae
congruis	congruo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act	congruis
instituit	instituo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	instituit
ut	ut4	CONsub	MORPH=empty	ut
et	et2	CONcoo	MORPH=empty	et
deum	deus	NOMcom	Case=Acc|Numb=Plur	deum
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
ignoratus	ignoratus	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	ignoratus
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
nouerimus	nosco	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=1	nouerimus
et	et2	CONcoo	MORPH=empty	et
mandatis	mandatum	NOMcom	Case=Abl|Numb=Plur	mandatis
eius	is	PROdem	Case=Gen|Numb=Sing	eius
secundum	secundum?	ADJord	MORPH=empty	secundum
decreti	decretum	NOMcom	Case=Gen|Numb=Sing	decreti
sui	suus	PROpos.ref	Case=Gen|Numb=Sing	sui
obtemperemus	obtempero	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	obtemperemus
.	.	PUNC	MORPH=empty	.
perfectum	perfectus2	ADJqua	Case=Nom|Numb=Sing	perfectum
enim	enim2	CONcoo	MORPH=empty	enim
legis	lex	NOMcom	Case=Gen|Numb=Sing	legis
prophetarum	prophetus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	prophetarum
et	et2	CONcoo	MORPH=empty	et
euangeliorum	euangelium	NOMcom	Case=Gen|Numb=Plur	euangeliorum
uirum	uir	NOMcom	Case=Acc|Numb=Sing	uirum
in	in	PRE	MORPH=empty	in
omni	omnis	PROind	Case=Abl|Numb=Sing	omni
psalmi	psalmus	NOMcom	Case=Gen|Numb=Sing	psalmi
istius	iste	PROdem	Case=Gen|Numb=Sing	istius
corpore	corpus	NOMcom	Case=Abl|Numb=Sing	corpore
propheta	prophetus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	propheta
conformat	conformo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	conformat
uel	uel2	CONcoo	MORPH=empty	uel
ex	ex	PRE	MORPH=empty	ex
sua	suus	PROpos.ref	Case=Abl|Numb=Sing	sua
uel	uel2	CONcoo	MORPH=empty	uel
ex	ex	PRE	MORPH=empty	ex
alterius	alter	PROind	Case=Gen|Numb=Sing	alterius
quem	qui1	PROrel	Case=Acc|Numb=Sing	quem
instituat	instituo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	instituat
persona	persona	NOMcom	Case=Nom|Numb=Sing	persona
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
in	in	PRE	MORPH=empty	in
fiducia	fiducia	NOMcom	Case=Abl|Numb=Sing	fiducia
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
haec	hic1	PROdem	Case=Nom|Numb=Plur	haec
de	de	PRE	MORPH=empty	de
se	sui1	PROref	Case=Abl|Numb=Sing	se
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
praedicare	praedico?	VER	Mood=Inf|Tense=Pres|Voice=Act	praedicare
