lemma	prediction	token	number
paeniteo	poeniteo	poenitet	1
liber	liberi	liberi	1
liber	liberi	liberum	1
liber	liberi	liberis	1
liber	libere	liberius	1
meritus	mereo	meritas	1
solus	solum	solum	1
salutare	salutaris	salutare	1
magnus	magis	maxime	1
Constantius	constanter	Constantius	2
bonus	boni	boni	1
bonus	boni	bonos	1
celebratus	celebro	celebrata	1
minimum	paruus	minimum	1
quis	quo	quo	1
Hunni界que	hunnus界que	Hunnorumque	1
pedes	pes	pedes	1
exercitium	exercitia	exercitia	1
sinister	sinistra	sinistra	1
scutatus	scuto	scutati	2
ferreus	ferrea	ferreas	1
munio	munitus	muniti	1
munio	munitus	munito	1
requiesco	requies	requieti	1
multus	multi	multi	1
multus	multi	multis	1
multus	multi	multos	1
Pannonicus	Pannonici	Pannonicos	1
qui	quod	quod	9
qui	quis	Quid	1
qui	quis	Quae	1
qui	quis	quos	1
qui	quis	cuius	1
qui	quis	quo	1
qui	quo	quo	2
qui	quam	quam	1
qui	que	que	2
trigonum	trigonus	trigono	1
pedale	pedalis	pedali	1
abscindo	abscido	abscidi	1
directus	dirigo	directum	1
atque	ac	ac	2
terni	ternus	ternas	1
missilis	missile	missilibus	1
dexter	dextera	dextra	1
medius	medium	medium	1
Horus	hor	Hore	1
saltator	saltatorius	saltatorium	3
probus	probo	probas	1
eleganter	elegans	elegantius	1
quod	qui	quod	8
Tiberius	tu	Tib.	1
multum	multus	plus	2
mediusfidius	medius	medius	1
mediusfidius	fides	fidius	1
suus界que	sui界que	suosque	1
superus	superius	superius	1
fescenninus	Fescenninus	Fescenninum	1
Graecus	Graeci	Graecos	1
gestus	gero	gestum	1
Marcomannicus界que	Marcommannicus界que	Marcommannicoque	1
usus	utor	usus	1
Faustina	Faustinus	Faustinam	2
Faustina	Faustinus	Faustinae	1
Faustina	Faustinus	Faustina	1
Halala	Halalas	Halalae	1
mortuus	morior	mortuae	1
diuus	Diua	Diuam	1
Elagabalus	Heliogabalus	Heliogabalo	1
orientalis	Orientalis	Orientalibus	1
Lauinium	Lauinius	Lauinium	1
Commodus	commodum	Commodum	1
Commodus	commodus	Commodus	1
Plato	Platon	Platonis	1
Praesens	praesens	Praesentis	1
iacio	iactus	iactum	1
inhaereo	inhero	inheret	1
charta	carte	carte	1
connecto	connexus	connexe	1
procado	proco	procadat	1
procado	proco	procadente	1
schema	scema	scema	1
matrix	matricus	Matrice	1
matrix	matricus	matricis	3
mamma	mamme	mamme	2
praeparo	prepor	preparant	1
profluens	profluo	profluente	1
aegroto	egroto	egrotante	1
abortio	abhortio	abhortionem	1
ueretrum	uereter	ueretrum	1
aliquantum	aliquantulus	aliquantulum	1
coitus	cohitus	cohitus	1
inferus	infra	inferius	1
os	ossius	ossium	1
Graeci	grex	Greci	1
scia	scio	scia	1
uesica	uesix	uesice	2
sinus	sinuo	sinui	1
summitas	submitas	summitate	1
summitas	submitas	summitati	1
cauerna	cauerno	cauerne	1
podex	podicus	podici	1
superabundo	superhabundo	superhabundantem	1
definio	diffinio	diffinit	1
definio	diffinio	diffiniatur	1
saepe	sapius	Sepius	1
saepe	sepius	sepius	1
quartusdecimus	quartodecimus	quartodecimo	1
plurimum	multum	plurimum	1
[ROMAN_NUMBER]	fleo	XL	1
[ROMAN_NUMBER]	Lucius	L	1
[ROMAN_NUMBER]	tres	XX	1
[ROMAN_NUMBER]	tres	X	1
[ROMAN_NUMBER]	trecenti界cum	XXX	1
[ROMAN_NUMBER]	tertius	III	2
[ROMAN_NUMBER]	is	II	1
[ROMAN_NUMBER]	Xceo	XXUI	1
[ROMAN_NUMBER]	septimus	UII	1
[ROMAN_NUMBER]	deus	XIU	1
plerique	plerusque	plerisque	1
femina	femur	femine	1
aliquis	alo界que	alique	3
unus	una	una	1
hic	hec	hec	1
praeuenio	preuenio	preuenit	1
alius	alie	alie	1
alius	alies	alie	1
aestimo	estimo	estimauit	1
uicesimus	uigesimus	uigesimo	1
aetas	etas	etate	1
aetas	etate	etate	1
uita	uitis	uite	2
quisque	qui界que	quasque	1
quisque	qui界que	quaeque	1
aestas	estate	estate	2
suculentus	soculentus	soculentis	1
crassesco	crasisco	crasiscant	1
bifarius	bifariam	bifariam	1
orior	ortus	ortum	1
