form	lemma	POS	morph	treated_token
Lucerna	lucerna	NOMcom	Case=Nom|Numb=Sing	lucerna
pedibus	pes	NOMcom	Case=Dat|Numb=Plur	pedibus
meis	meus	PROpos	Case=Dat|Numb=Plur	meis
uerbum	uerbum	NOMcom	Case=Nom|Numb=Sing	uerbum
tuum	tuus	PROpos	Case=Nom|Numb=Sing	tuum
et	et2	CONcoo	MORPH=empty	et
lumen	lumen	NOMcom	Case=Acc|Numb=Sing	lumen
semitis	semita	NOMcom	Case=Gen|Numb=Plur	semitis
meis	meus	PROpos	Case=Dat|Numb=Plur	meis
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Vita	iita	NOMcom	Numb=Sing	vita
sensus	sensus	NOMcom	Case=Nom|Numb=Sing	sensus
-que	que	CONcoo	MORPH=empty	-que
hominum	homo	NOMcom	Case=Gen|Numb=Plur	hominum
in	in	PRE	MORPH=empty	in
errore	error	NOMcom	Case=Abl|Numb=Sing	errore
ac	ac1	CONcoo	MORPH=empty	ac
potius	potius	ADV	Deg=Comp	potius
nocte	nox	NOMcom	Case=Abl|Numb=Sing	nocte
inscientiae	inscientia	NOMcom	Case=Gen|Numb=Sing	inscientiae
manet	maneo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	manet
dum	dum2	CONsub	MORPH=empty	dum
carnali	carnalis	NOMcom	Case=Dat|Numb=Sing	carnali
infecta	inficio	VER	Case=Nom|Numb=Sing|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass	infecta
contagio	contagio	NOMcom	Case=Nom|Numb=Sing	contagio
in	in	PRE	MORPH=empty	in
profundo	profundum	NOMcom	Case=Abl|Numb=Sing	profundo
ignorantiae	ignorantia	NOMcom	Case=Gen|Numb=Sing	ignorantiae
per	per	PRE	MORPH=empty	per
grauitatem	grauitas	NOMcom	Case=Acc|Numb=Sing	grauitatem
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
admixta	admisceo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	admixta
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
detinetur	detineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	detinetur
.	.	PUNC	MORPH=empty	.
quando	quando2	ADVint	MORPH=empty	quando
enim	enim2	CONcoo	MORPH=empty	enim
per	per	PRE	MORPH=empty	per
semetipsum	sui?	PROdem	Case=Acc|Numb=Sing	semetipsum
causam	causa	NOMcom	Case=Acc|Numb=Sing	causam
et	et2	CONcoo	MORPH=empty	et
rationem	ratio	NOMcom	Case=Acc|Numb=Sing	rationem
originis	origo	NOMcom	Case=Gen|Numb=Sing	originis
nouerit	nosco	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	nouerit
quando	quando3	CONsub	MORPH=empty	quando
sciet	scio	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	sciet
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
uitae	uita	NOMcom	Case=Dat|Numb=Sing	uitae
suae	suus	PROpos.ref	Case=Gen|Numb=Sing	suae
fructus	fructus	NOMcom	Case=Nom|Numb=Sing	fructus
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
quae	qui1	PROrel	Case=Nom|Numb=Sing	quae
condicio	condicio	NOMcom	Case=Nom|Numb=Sing	condicio
spei	spes	NOMcom	Case=Gen|Numb=Sing	spei
quae	qui1	PROrel	Case=Nom|Numb=Sing	quae
promerendae	promereor	VER	Case=Gen|Numb=Sing|Mood=Adj|Voice=Pass	promerendae
posteritatis	posteritas	NOMcom	Case=Gen|Numb=Sing	posteritatis
uia	uia	NOMcom	Case=Nom|Numb=Sing	uia
neque	neque	CONcoo	MORPH=empty	neque
enim	enim2	CONcoo	MORPH=empty	enim
quisquam	quisquam	PROind	Case=Nom|Numb=Sing	quisquam
tam	tam	ADV	Deg=Pos	tam
demens	demens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	demens
aut	aut	CONcoo	MORPH=empty	aut
inops	inops	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inops
sensu	sensus	NOMcom	Case=Abl|Numb=Sing	sensu
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
in	in	PRE	MORPH=empty	in
id	is	PROdem	Case=Acc|Numb=Sing	id
cum	cum3	CONsub	MORPH=empty	cum
nullus	nullus	PROind	Case=Nom|Numb=Sing	nullus
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	esset
natum	natus2	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	natum
se	sui1	PROref	Case=Acc|Numb=Sing	se
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
existimet	existimo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	existimet
ut	ut1	ADVrel	MORPH=empty	ut
rursum	rursus	ADV	Deg=Pos	rursum
postquam	postquam	CONsub	MORPH=empty	postquam
natus	nascor	VER	Case=Nom|Numb=Sing|Tense=Perf|Voice=Dep	natus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
nullus	nullus	PROind	Case=Nom|Numb=Sing	nullus
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	esset
;	;	PUNC	MORPH=empty	;
cum	cum3	CONsub	MORPH=empty	cum
sine	sine	PRE	MORPH=empty	sine
dubio	dubium	NOMcom	Case=Abl|Numb=Sing	dubio
meminerit	memini	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	meminerit
ex	ex	PRE	MORPH=empty	ex
bonitate	bonitas	NOMcom	Case=Abl|Numb=Sing	bonitate
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
profectum	profectus	NOMcom	Case=Acc|Numb=Sing	profectum
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
quod	qui1	PROrel	Numb=Sing	quod
natus	nascor	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	natus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
nec	nec2	CONcoo	MORPH=empty	nec
id	is	PROdem	Case=Nom|Numb=Sing	id
in	in	PRE	MORPH=empty	in
bonitatem	bonitas	NOMcom	Case=Acc|Numb=Sing	bonitatem
eius	is	PROdem	Case=Gen|Numb=Sing	eius
cadat	cado	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	cadat
.	.	PUNC	MORPH=empty	.
ut	ut1	ADVrel	MORPH=empty	ut
in	in	PRE	MORPH=empty	in
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
hoc	hic1	PROdem	Case=Acc|Numb=Sing	hoc
