lemma	prediction	token	number
quisque	qui界que	quodque	2
quisque	qui界que	quaeque	2
simplex	simpliciter	simplicius	1
latine	Latinus	Latine	1
dico	duco	ducens	1
qui	quam	Quam	1
qui	quod	quod	3
qui	quis	Qui	1
qui	quis	quid	1
qui	quo	quo	1
scriptum	scribo	scripta	1
quantuscumque界que	quantuscumque	quantacumque	1
paedico	pedicus	pedico	1
paedico	pedico	pedicabere	1
paedico	pedico	Pedicabere	1
paedico	pedico	pedicaberis	1
paedico	pediconus	pediconum	1
recta	rectum	recta	1
tectus	tectum	tecta	1
Mauors	Mars	Mauors	1
amor	Amor	Amor	1
prehenso	prehendo	prenso	1
pedalis	pedalus	pedali	2
Cumae	Cumaeus	Cumaeae	1
nox	lux	luce	1
nox	nocte	nocte	1
unum	unus	unum	1
lateo	latus	latere	1
russus	russa	russa	1
graue	grauis	graue	1
coleus	colea	coleis	1
coleus	coles	coleorum	1
apertus	aperio	apertis	1
apertus	aperio	aperta	2
oblino	obliuiscor	oblitus	1
Nausicaa	nauseca	Nausicam	1
nudus	nudes	nude	1
molestus	moleste	moleste	1
sino	sine	sine	1
quod	qui	quod	3
crisso	criso	crisabit	1
sutilis	suttilis	suttilibus	1
proelium	praelium	praelia	1
tentus	tendo	tenta	1
rogatus	rogo	rogatus	1
sacer	sacrum	sacra	1
uir界ue	uirus界ue	uirue	1
nates	nato	nates	1
nates	natis	nates	1
defectus	deficio	defectus	1
tentigo界ne	tentigo	tentigine	1
mando	mandatum	mandati	1
indigne	indignor	indignere	1
uicina	uicinus	uicinae	1
prurio	pruriens	prurientes	1
salax	salacior	salaciores	1
Quintia	Quintius	Quintia	1
crotalum	crotalis	crotalis	1
prurigo	pruriginus	pruriginis	1
improbus	improbus界que	inprobisque	1
que	improbus界que	inprobisque	1
patens	pateo	patentes	1
tu	tuus	tui	1
tuus	tuum	tuo	1
passus	pando	passis	1
haruspex	aruspex	aruspex	1
exspuo	expuo	expuentem	1
insularius界que	insularis界que	insulariusque	1
Dryas界que	Dryades界que	Dryadasque	1
nympha	Nympha	Nymphas	1
sacrum	sacer	sacrum	1
sacrum	sacer	sacro	1
commune	communis	communis	1
notus	nota	Notas	1
pictus	pingo	picta	1
pictus	pingo	pictus	1
cupido	Cupido	Cupido	1
quam	qui	quam	1
nosco	notus	Nota	1
Telethusa	Telethus	Telethusa	1
sancte	sanctus	sancte	1
nascor	natus	natis	1
ferueo	feruens	feruenti	1
Maurus	Maura	Maurae	1
Medus	Medi	Medis	1
Indicus界ue	index界ue	Indicisue	1
mando?	Manes	manes	1
hic	hinc	hinc	1
libet	libenter	libenter	1
ineo	eo	ires	1
scaturio	scaturrio	scaturrientis	1
amica	amicus	amica	1
sponte	spons	sponte	1
uenio	ueneo	uenire	3
Aretes	ares	Arete	1
prunum	prunus	prunum	1
sorbus界ue	sorbum界ue	sorbumue	1
praesignis	praesigno	praesigne	1
morum	mos	morum	1
amygdalum界ue	amygdalus界ue	amygdalumue	1
cucurbita	cucurbitas	cucurbitas	1
cucumis界que	cucumeo界que	cucumeresque	1
fundo	fusus	fusos	1
cepa	caepa	cepas	1
ruta	rutus	rutis	1
aperio	apertus	apertam	1
peculio	peculiatus	peculiati	1
deterius	deterior	deterius	1
mutoniatus	mutunio	mutuniatus	1
contendo	contentus	Contentus	1
citus	cieo	cita	1
consulo	consul	consule	1
_	no	CD	1
medium	medius	medium	1
turpe	turpis	turpe	1
effemino	effeminatus	effeminato	1
autumnus	autumna	autumnis	1
siccitas界ue	siccita界ue	siccitasue	1
Philaenis	Philaenae	Philaenis	1
furo	furor	furetur	1
nota	notus	notam	1
indoctus	indocte	indocte	1
Homericus	Homeriacus	Homeriacas	1
psole	psoles	psolen	1
[Greek]	ocimius	Ψολόεντα	1
[Greek]	ocimilis	κεραυνόν	1
[Greek]	ociomus	κουλεόν	1
[Greek]	nomo	Μερδαλέον	1
[Greek]	ocis	μῶλυ	2
merdaleus	merdalis	merdalea	1
Troicus	Troica	Troica	1
Atlantides界que	Atlantiades界que	Atlantiademque	1
Penelope	Penelopeus	Penelopea	1
maneo	Manes	manes	1
uiso	uideo	uisas	1
futuo	fututus	fututorum	1
fertum	ferctum	ferctum	1
tundo	tusa	tusam	1
rigeo	rigo	rigando	1
famelicus	famelica	famelicarum	1
pomarius	pomarium	pomaria	1
doceo	doctus	doctus	1
pomarium	pomarius	pomarii	1
rubricatus	rubrico	rubricato	1
Mutinius	mutinium	mutinio	1
Dodonis	Dodone	Dodone	1
sacro	sacratus	sacrata	1
Samos	Samus	Samos	1
dis	diues	dites	1
aequus界que	aequor界que	aequorumque	1
Cretes	Creta	Creten	1
Rhodos	Rhodus	Rhodos	1
beo	beatus	beata	1
sol	Sol	Solis	1
Cnidus	Gnidus	Gnidos	1
senior	senex	senior	1
canus	cano	canis	1
albico	albicio	albicet	1
saepes	saeper	saepem	1
uolucris	uolucer	uolucres	1
paudex	podex	podices	1
claudo?	claudo	clusus	1
