form	lemma	POS	morph	treated_token
Principes	princeps1	NOMcom	Case=Nom|Numb=Plur	principes
persecuti	persequor	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Dep|Person=3	persecuti
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
me	ego	PROper	Case=Acc|Numb=Sing	me
gratis	gratis	ADV	Deg=Pos	gratis
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Grauia	grauis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	grauia
quidem	quidem	ADV	Deg=Pos	quidem
propheta	prophetus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	propheta
Dauid	dauis	NOMcom	Case=Acc|Numb=Sing	dauid
et	et2	CONcoo	MORPH=empty	et
regis	rex	NOMcom	Case=Gen|Numb=Sing	regis
Saul	salum	NOMcom	Case=Nom|Numb=Sing	saul
et	et2	CONcoo	MORPH=empty	et
principum	princeps1	NOMcom	Case=Gen|Numb=Plur	principum
populi	populus?	NOMcom	Case=Gen|Numb=Sing	populi
odia	odium	NOMcom	Case=Acc|Numb=Plur	odia
insectationes	insectatio	NOMcom	Case=Acc|Numb=Plur	insectationes
-que	que	CONcoo	MORPH=empty	-que
sustinuit	sustineo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	sustinuit
quia	quia	CONsub	MORPH=empty	quia
piae	pius	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	piae
conscieutise	conscieutio	ADV	MORPH=empty	conscieutise
constantiam	constantia	NOMcom	Case=Acc|Numb=Sing	constantiam
ferre	fero	VER	Mood=Inf|Tense=Pres|Voice=Act	ferre
impietas	impietas	NOMcom	Case=Nom|Numb=Sing	impietas
professa	profiteor	VER	Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	professa
non	non	ADVneg	MORPH=empty	non
potuit	possum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	potuit
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
conformans	conformo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	conformans
euangelicum	euangelicus	NOMcom	Case=Acc|Numb=Sing	euangelicum
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
atque	atque1	CONcoo	MORPH=empty	atque
apostolicum	apostolicus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	apostolicum
uirum	uir	NOMcom	Case=Acc|Numb=Sing	uirum
non	non	ADVneg	MORPH=empty	non
ignarus	ignarus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	ignarus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
euangelici	euangelicus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	euangelici
sermonis	sermo	NOMcom	Case=Gen|Numb=Sing	sermonis
quo	qui1	PROrel	Case=Abl|Numb=Sing	quo
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
tradent	trado	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3	tradent
enim	enim2	CONcoo	MORPH=empty	enim
uos	uos	PROper	Case=Nom|Numb=Plur	uos
et	et2	CONcoo	MORPH=empty	et
