form	lemma	POS	morph	treated_token
Memento	memini	VER	Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2	memento
uerbi	uerbum	NOMcom	Case=Gen|Numb=Sing	uerbi
tui	tuus	PROpos	Case=Gen|Numb=Sing	tui
seruo	seruus1	NOMcom	Case=Dat|Numb=Sing	seruo
tuo	tuus	PROpos	Case=Dat|Numb=Sing	tuo
in	in	PRE	MORPH=empty	in
quo	qui1	PROrel	Case=Abl|Numb=Sing	quo
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
spem	spes	NOMcom	Case=Acc|Numb=Sing	spem
dedisti	do	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2	dedisti
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Omnis	omnis	PROind	Case=Nom|Numb=Sing	omnis
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
sermo	sermo	NOMcom	Case=Nom|Numb=Sing	sermo
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
scripturis	scriptura	NOMcom	Case=Abl|Numb=Plur	scripturis
diuinis	diuinus2	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	diuinis
continetur	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	continetur
.	.	PUNC	MORPH=empty	.
m	ego	INJ	MORPH=empty	m
spem	spes	NOMcom	Case=Acc|Numb=Sing	spem
bonorum	bonum	NOMcom	Case=Gen|Numb=Plur	bonorum
caelestium	caelestes	NOMcom	Case=Gen|Numb=Plur|Deg=Pos	caelestium
uocat	uoco	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uocat
.	.	PUNC	MORPH=empty	.
atque	atque1	CONcoo	MORPH=empty	atque
ob	ob	PRE	MORPH=empty	ob
id	is	PROdem	Case=Acc|Numb=Sing	id
propheta	prophetus	VER	Case=Acc|Numb=Plur|Deg=Pos	propheta
in	in	PRE	MORPH=empty	in
omnibus	omnis	PROind	Case=Abl|Numb=Plur	omnibus
se	sui1	PROref	Case=Acc|Numb=Sing	se
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
praeceptis	praeceptum	NOMcom	Case=Abl|Numb=Plur	praeceptis
mansisse	maneo	VER	Mood=Inf|Tense=Perf|Voice=Act	mansisse
confidens	confido	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=SemDep	confidens
constanter	constanter	ADV	Deg=Pos	constanter
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
memorare	memoro	VER	Mood=Inf|Tense=Pres|Voice=Act	memorare
uerbum	uerbum	NOMcom	Case=Acc|Numb=Sing	uerbum
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
seruo	seruus1	NOMcom	Case=Dat|Numb=Sing|Tense=Pres	seruo
tuo	tuus	PROpos	Case=Dat|Numb=Sing	tuo
.	.	PUNC	MORPH=empty	.
numquid	numquid	ADVint	MORPH=empty	numquid
promissi	promissum	NOMcom	Case=Gen|Numb=Sing	promissi
sui	suus	PROpos.ref	Case=Gen|Numb=Sing	sui
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
inmemor	immemor	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inmemor
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
absit	absum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	absit
istud	iste	PROdem	Case=Nom|Numb=Sing	istud
ut	ut4	CONsub	MORPH=empty	ut
aliqua	aliquis	PROind	Case=Acc|Numb=Plur	aliqua
subrepere	subrepo	VER	Mood=Inf|Tense=Pres|Voice=Act	subrepere
in	in	PRE	MORPH=empty	in
aeternam	aeternus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	aeternam
atque	atque1	CONcoo	MORPH=empty	atque
indefessam	indefessus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	indefessam
uirtutem	uirtus	NOMcom	Case=Acc|Numb=Sing	uirtutem
humanarum	humanus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	humanarum
infirmitatum	infirmitas	NOMcom	Case=Gen|Numb=Plur	infirmitatum
genera	genus?	NOMcom	Case=Nom|Numb=Plur	genera
credantur	credo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	credantur
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
propheta	prophetus	ADJqua	Numb=Sing|Deg=Pos	propheta
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
promissis	promissum	NOMcom	Case=Dat|Numb=Plur	promissis
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
credidit	credo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	credidit
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
desiderio	desiderium	NOMcom	Case=Abl|Numb=Sing	desiderio
caelestium	caelestes	NOMcom	Case=Gen|Numb=Plur	caelestium
detentus	detineo	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	detentus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
contemptu	contemptus1	NOMcom	Case=Abl|Numb=Sing	contemptu
praesentium	praesentia?	NOMcom	Case=Gen|Numb=Plur	praesentium
futura	futurum	VER	Case=Acc|Numb=Plur|Mood=Par|Voice=Act	futura
sperauit	spero	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	sperauit
non	non	ADVneg	MORPH=empty	non
ad	ad2	PRE	MORPH=empty	ad
memoriam	memoria	NOMcom	Case=Acc|Numb=Sing	memoriam
uerbi	uerbum	NOMcom	Case=Gen|Numb=Sing	uerbi
sui	suus	PROpos.ref	Case=Gen|Numb=Sing	sui
deum	deus	NOMcom	Case=Gen|Numb=Plur	deum
admonet	admoneo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	admonet
;	;	PUNC	MORPH=empty	;
sed	sed	CONcoo	MORPH=empty	sed
ut	ut4	CONsub	MORPH=empty	ut
uerbi	uerbum	NOMcom	Case=Gen|Numb=Sing	uerbi
sui	suus	PROpos.ref	Case=Gen|Numb=Sing	sui
in	in	PRE	MORPH=empty	in
se	sui1	PROref	Case=Abl|Numb=Sing	se
seruo	seruus1	NOMcom	Case=Dat|Numb=Sing	seruo
suo	suus	PROpos.ref	Case=Dat|Numb=Sing	suo
memor	memor	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	memor
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
deprecatur	deprecor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	deprecatur
id	is	PROdem	Case=Nom|Numb=Sing	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
ita	ita	ADV	Deg=Pos	ita
dignus	dignus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	dignus
habeatur	habeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	habeatur
in	in	PRE	MORPH=empty	in
quo	qui1	PROrel	Case=Abl|Numb=Sing	quo
iam	iam	ADV	Deg=Pos	iam
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
