form	lemma	POS	morph	treated_token
Adhaesit	adhaereo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	adhaesit
pauimento	pauimentum	NOMcom	Case=Abl|Numb=Sing	pauimento
anima	anima	NOMcom	Case=Nom|Numb=Sing	anima
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
uiuifica	uiuifica	NOMcom	Case=Voc|Numb=Sing	uiuifica
me	ego	PROper	Case=Acc|Numb=Sing	me
secundum	secundum2	PRE	Case=Acc|Numb=Sing	secundum
uerbum	uerbum	NOMcom	Case=Acc|Numb=Sing	uerbum
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Multiplex	multiplex	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	multiplex
intellegentia	intelligentia	NOMcom	Case=Abl|Numb=Sing	intellegentia
non	non	ADVneg	MORPH=empty	non
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	potest
in	in	PRE	MORPH=empty	in
se	sui1	PROref	Case=Acc|Numb=Sing	se
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act	habere
dictorum	dictum	NOMcom	Case=Gen|Numb=Plur	dictorum
difficultatem	difficultas	NOMcom	Case=Acc|Numb=Sing	difficultatem
cum	cum3	CONsub	MORPH=empty	cum
amota	amoueo	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	amota
omni	omnis	PROind	Case=Abl|Numb=Sing	omni
obscuritate	obscuritas	NOMcom	Case=Abl|Numb=Sing	obscuritate
intellegendi	intelligo	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	intellegendi
magis	magis2	ADV	Deg=Comp	magis
abundet	abundo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	abundet
electio	electio	NOMcom	Case=Nom|Numb=Sing	electio
ut	ut4	CONsub	MORPH=empty	ut
in	in	PRE	MORPH=empty	in
primo	primus	ADJord	Case=Abl|Numb=Sing|Deg=Sup	primo
quartae	quartus	ADJord	Case=Gen|Numb=Sing|Deg=Pos	quartae
uersu	uersus1	NOMcom	Case=Abl|Numb=Sing	uersu
contuemur	contueor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1	contuemur
.	.	PUNC	MORPH=empty	.
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
enim	enim2	CONcoo	MORPH=empty	enim
pauimento	pauimentum	NOMcom	Case=Abl|Numb=Sing	pauimento
anima	anima	NOMcom	Case=Voc|Numb=Sing	anima
mea	meus	PROpos	Case=Voc|Numb=Sing	mea
