token	lemma	pos	Gend
haec	hic	PROdem	Neut
cum	cum	CONsub	_
agerentur	ago	VER	_
nuntii	nuntius	NOM	_
praemissi	praemitto	VER	Masc
ab	ab	PRE	_
rege	rex	NOM	_
Iuba	iuba	NOM	_
uenerunt	uenio	VER	_
qui	qui	PROrel	Masc
illum	ille	PROdem	Masc
adesse	assum	VER	_
cum	cum	PRE	_
magnis	magnus	ADJqua	Com
copiis	copia	NOM	_
dicerent	dico	VER	_
et	et	CONcoo	_
de	de	PRE	_
custodia	custodia	NOM	_
ac	ac	CONcoo	_
defensione	defensio	NOM	_
urbis	urbs	NOM	_
hortarentur	hortor	VER	_

hac	hic	PROdem	Fem
habita	habeo	VER	Fem
oratione	oratio	NOM	_
nullam	nullus	PROind	Fem
in	in	PRE	_
partem	pars	NOM	_
ab	ab	PRE	_
exercitu	exercitus	NOM	_
Curionis	curio	NOM	_
fit	fio	VER	_
significatio	significatio	NOM	_
atque	atque	CONcoo	_
ita	ita	ADV	_
suas	suus	PROpos.ref	Fem
uterque	uterque	PROind	Masc
copias	copia	NOM	_
reducit	reduco	VER	_

quibus	qui	PROrel	Com
rebus	res	NOM	_
confectis	conficio	VER	Com
Caesar	caesar	NOM	_
magis	magis	ADV	_
eos	is	PROdem	Masc
pro	pro	PRE	_
nomine	nomen	NOM	_
et	et	CONcoo	_
uetustate	uetustas	NOM	_
quam	quam	ADVrel	_
pro	pro	PRE	_
meritis	meritum	NOM	_
in	in	PRE	_
se	sui	PROref	_
ciuitatis	ciuitas	NOM	_
conseruans	conseruo	VER	Com
duas	duo	ADJcar	Fem
ibi	ibi	ADV	_
legiones	legio	NOM	_
praesidio	praesidium	NOM	_
relinquit	relinquo	VER	_
ceteras	ceterus	ADJqua	Fem
in	in	PRE	_
Italiam	italia	NOM	_
mittit	mitto	VER	_
ipse	ipse	PROdem	Masc
ad	ad	PRE	_
urbem	urbs	NOM	_
proficiscitur	proficiscor	VER	_

eo	eo	ADV	_
cum	cum	CONsub	_
uenisset	uenio	VER	_
euocantur	euoco	VER	_
illi	ille	PROdem	Masc
ad	ad	PRE	_
conloquium	colloquium	NOM	_

carinae	carina	NOM	_
ac	ac	CONcoo	_
prima	primus	ADJord	Neut
statumina	statumen	NOM	_
ex	ex	PRE	_
leui	leuis	ADJqua	Com
materia	materia	NOM	_
fiebant	fio	VER	_
reliquum	reliquus	ADJqua	Neut
corpus	corpus	NOM	_
nauium	nauis	NOM	_
uiminibus	uimen	NOM	_
contextum	contexo	VER	Neut
coriis	corium	NOM	_
integebatur	intego	VER	_

huic	hic	PROdem	Com
dat	do	VER	_
litteras	littera	NOM	_
mandata	mandatum	NOM	_
-que	que	CONcoo	_
ad	ad	PRE	_
eum	is	PROdem	Masc
quorum	qui	PROrel	MascNeut
haec	hic	PROdem	Fem
erat	sum	VER	_
summa	summa	NOM	_
sese	sui	PROref	_
omnia	omnis	PROind	Neut
de	de	PRE	_
pace	pax	NOM	_
expertum	experior	VER	MascNeut
nihil	nihil	PROind	_
adhuc	adhuc	ADV	_
effecisse	efficio	VER	_
id	is	PROdem	Neut
arbitrari	arbitror	VER	_
uitio	uitium	NOM	_
factum	facio	VER	MascNeut
eorum	is	PROdem	MascNeut
quos	qui	PROrel	Masc
esse	sum	VER	_
auctores	auctor	NOM	_
eius	is	PROdem	Com
