lemma	prediction	token	number
Vrias	Bria	Vriae	1
Iechonias	Iechonia	Iechoniam	1
quis	qui	quo	3
quis	qui	cui	9
quis	qui	qui	5
quis	qui	quem	8
quis	qui	quibus	4
quis	qui	quae	16
quis	qui	qua	8
quis	qui	cuius	6
quis	qui	quod	6
quis	qui	quam	2
quis	qui	quorum	2
quis	quod	quod	1
qui	quod	quod	31
qui	quo	quo	2
qui	quis	quae	3
qui	quis	quod	1
qui	quis	qua	1
ne3界que	neque	neque	217
ne3界que	nec	nec	46
caedo	cado	cecidit	7
caedo	cado	ceciderit	1
caedo	cado	ceciderunt	3
caedo	cado	cecidi	1
socer	socrus	socrum	1
mortuus	morior	mortui	2
mortuus	morior	mortuus	1
peccator	peccatum	peccatorum	6
sui1界cum	sui界cum	secum	15
dedo	do	dedit	2
mando	mandatum	mandatum	1
dilectus	diligo	dilectus	2
dilectus	diligo	dilecti	1
dilectus	diligo	dilecto	1
dilectus	diligo	dilectam	1
dico2界que	dico界que	dixitque	13
dico2界que	dico界que	dixeruntque	1
primus	primum	primum	1
facilis	facile	facilius	1
paro	paratus	paratae	1
paro	paratus	paratum	1
tu	tuus	tui	1
pecco	peccatum	peccatorum	1
pecco	peccatum	peccatis	1
multus	multum	plus	4
multus	multum	multum	1
saluo	saluus	salua	1
sabacthani	sabacthanes	sabacthani	2
sum1界que	sum界que	eratque	1
cum2界que	cum界que	cumque	5
deterius	deterior	deterius	1
cumi	cumus	cumi	1
is	eo	eo	5
simul1界que	simul界que	simulque	1
ego	meus	mei	5
corban	corbantes	corban	1
tantus	tanto	tanto	1
tantus	tantum	tanti	1
tantus	tantum	tantum	1
morior	mortuus	mortuis	2
morior	mortuus	mortuus	1
festus	festum	festo	1
multum	multus	plus	1
uirtus	mirtus	Virtutis	1
meus	ego	mei	4
possum	potens	potens	3
possum	potens	potentes	1
Nahum	Naum	Naum	1
quod	qui	quod	10
suffero	tollo	sublatum	2
suffero	tollo	sublata	1
quo	qui	quo	1
pertranseo	transeo	pertransiit	1
pertranseo	transeo	pertransiebant	1
pertranseo	transeo	pertransiuit	1
armo	armatus	armatus	1
sum	futurum	futurum	1
satum	sata	sata	1
seruus	seruo	seruo	2
uerbum	merbum	Verbum	4
uerbum	merbus	Verbum	1
uos	uester	uestri	1
uos	uester	uestrum	1
audio	auditus	auditum	1
extergo	extergeo	extersit	1
uoluo	uolo	uolueritis	1
lithostrotus	Lithostrotus	Lithostrotus	1
inconsutilis	inconsutialis	inconsutilis	1
Oliuetum	oliuetum	Oliueti	1
Aelamitae	Eelamitae	Elamitae	1
Cres	Cretes	Cretes	1
rego	rex	regis	2
lego2界que	lego界que	legensque	1
transeo1界que	transeo界que	transeuntesque	1
gentilis1界que	gentilis界que	gentilibusque	1
Iudaei	Iudaeus	Iudaeum	1
Titius	Titus	Titi	1
Iustus	iustus	Iusti	1
Tyrannus	tyrannus	Tyranni	1
satis2界que	satis界que	satisque	1
Coos	Choos	Cho	1
Rhodos	Rhodus	Rhodum	1
Tyros	Tyrus	Tyrum	1
Graece	graece	graece	1
summa	superus	summa	1
uolo3界que	uolo界que	uolensque	1
adeo1界que	adeo界que	adieruntque	1
tantum	solum	solum	1
ultio	Sitius	Vltio	1
nosco	notus	notum	1
Iudaeus	Iudaei	Iudaeus	1
sum1界ne	sum界ne	estne	1
subicio	subiectus	subiecta	1
subicio	subiectus	subiecti	1
altarium	altar	altaria	1
potens	possum	potens	1
potens	potentia	potentia	1
si2界ue	si界ue	siue	22
quam	qui	quam	1
Vrbanus	Erbanus	Vrbanum	1
sapio	sapiens	sapienti	1
sapio	sapiens	sapientes	1
sapiens	sapio	sapiens	1
profundus	profundum	profunda	1
futurus	futurum	futura	1
nos	noster	nostri	1
prouentus	prouentum	prouentum	1
ceterus	cetera	cetera	2
opera	opus	opera	1
neque	nec	nec	1
acceptus	accipio	accepto	1
acceptus	accipio	acceptam	1
cognitus	cognosco	cogniti	1
paratus	paro	parata	1
uolo3界ne	uolo界ne	uultisne	1
resto	resisto	restiti	1
resto	resisto	restitit	1
aer	aes	aeris	1
conecto	connecto	conexum	1
ut4界ne	ut界ne	utne	1
praecipio	praeceptum	praeceptum	1
dico	dictum	dicto	1
pedes	pes	pedes	1
Iezabel	Hiezabel	Hiezabel	1
signo	signum	signa	1
Armagedon	Hermagedon	Hermagedon	1
uerum	uerus	uera	1
uerax	merax	Verax	1
cado	caedo	cecidi	1
